serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
170,Mahesh Prabhudas Ahuja,10032,IND,1,Others,57,"1,11,37,240",1 Crore,"15,28,108",15 Lacs
171,Maheshwari Devjibhai Vachhiyabhai,8972,Bahujan Mukti Party,1,Graduate Professional,43,"51,28,027",51 Lacs,"14,20,000",14 Lacs
172,Makrani Ajazahmed,10067,IND,0,8th Pass,37,"87,000",87 Thou,0,
173,Makvana Kamabhai,8789,IND,0,Literate,68,"28,000",28 Thou,"70,000",70 Thou
174,Makwana Anilkumar Somabhai,9364,IND,0,5th Pass,52,"12,73,032",12 Lacs,0,
175,Makwana Dalpatbhai Lagharbhai,10050,IND,0,5th Pass,68,"1,35,000",1 Lacs,0,
176,Makwana Prakashbhai Bahecharji,9357,Garvi Gujarat Party,2,8th Pass,26,"7,40,473",7 Lacs,0,
177,Makwana Vaghabhai Maganbhai,9318,IND,0,10th Pass,47,"3,90,000",3 Lacs,0,
178,Malhotra Pankajkumar Dayabhai (Doctor Saheb),10037,IND,0,Graduate Professional,45,"4,000",4 Thou,0,
179,Manharbhai Nagjibhai Patel,8502,INC,0,10th Pass,50,0,0,"55,95,198",55 Lacs
180,Manoj Premchand Gupta,9379,Sarvodaya Bharat Party,0,8th Pass,35,"39,25,000",39 Lacs,"16,00,000",16 Lacs
181,Mansukhbhai Vasava,8508,BJP,0,Post Graduate,61,"68,35,957",68 Lacs,0,
182,Maru Manisha Bharat,8973,IND,0,5th Pass,37,"3,27,000",3 Lacs,0,
183,Mayursinh Vanrajsinh Zala,9335,Rashtra Vikas Zumbes Party,0,12th Pass,27,"6,74,667",6 Lacs,0,
184,Meghval Bhimjibhai Bhikhabhai,8975,IND,0,10th Pass,34,"7,56,102",7 Lacs,"3,93,950",3 Lacs
185,Minaxiben Rakeshkumar Solanki,9377,IND,0,Graduate,32,"69,63,794",69 Lacs,0,
186,Mishra Arjun Ramshankar,9370,Jan Sangharsh Virat Party,0,Others,27,"95,166",95 Thou,"1,61,113",1 Lacs
187,Mishra Jitendrabhai Premnath,9030,Sanyukt Vikas Party,0,Graduate,49,"11,18,952",11 Lacs,0,
188,Mishra Rajkumar Malekchand,10033,IND,0,12th Pass,36,"42,40,000",42 Lacs,"27,78,000",27 Lacs
189,Miteshbhai Patel,7686,BJP,2,Others,54,0,0,"78,10,840",78 Lacs
190,Mohsimmiya(Saiyad Mohsin Bapu),10343,Bahujan Mukti Party,0,8th Pass,58,"21,36,583",21 Lacs,0,
191,Mukhtiyar Shaikh,9019,IND,0,8th Pass,57,"54,474",54 Thou,0,
192,Mundra Anilkumar,9374,Lok Gathbandhan Party,0,Graduate Professional,40,"18,39,497",18 Lacs,"3,24,958",3 Lacs
193,Nakum Narmadaben Khodalal,10060,IND,0,5th Pass,60,"7,87,108",7 Lacs,"89,883",89 Thou
194,Nanalal Kalidas Maheta,9045,IND,0,8th Pass,62,"32,42,000",32 Lacs,0,
195,Naranbhai Tulsidas Sengal,9352,Bahujan Suraksha Dal,0,10th Pass,57,"1,09,000",1 Lacs,0,
196,Narendrabhai Revashanker Trivedi,9350,Jan Satya Path Party,0,Graduate,65,"1,13,446",1 Lacs,0,
197,Naresh Makwana,10045,IND,0,12th Pass,39,"3,77,300",3 Lacs,0,
198,Naresh Naranbhai Maheshwari,8393,INC,0,Graduate,52,"38,13,627",38 Lacs,"1,44,294",1 Lacs
