serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
442,V. S. Ugrappa,10446,INC,0,Graduate Professional,65,"10,82,17,325",10 Crore,"2,22,31,164",2 Crore
443,V. Venkataraju,7368,IND,0,8th Pass,44,"4,28,000",4 Lacs,"50,000",50 Thou
444,Vadiraj Mannari Madhusudhan,10410,All India Hindustan Congress Party,3,Graduate,49,"11,35,000",11 Lacs,0,
445,Vatal Nagaraj,7699,Kannada Chalavali Vatal Paksha,0,10th Pass,70,"6,55,60,974",6 Crore,"13,10,271",13 Lacs
446,Veena Kashappanavar,7025,INC,0,Graduate,38,"7,83,75,219",7 Crore,"2,67,84,734",2 Crore
447,Veerabhadrappa Veerappa Kabbinada,10397,IND,0,5th Pass,72,"2,15,000",2 Lacs,0,
448,Venkatesa Setty,7348,IND,0,Graduate,74,"3,30,000",3 Lacs,0,
449,Venkatesh Bende,7918,IND,0,Graduate,47,0,0,"1,25,000",1 Lacs
450,Venkatesh R,10373,Uttama Prajaakeeya Party,0,10th Pass,31,"24,93,000",24 Lacs,0,
451,Venkatesha D Nayaka,7720,IND,0,12th Pass,59,"69,59,654",69 Lacs,0,
452,Venkateshappa,7328,Sarva Janata Party,0,8th Pass,51,"2,25,000",2 Lacs,0,
453,Venu M.,7341,IND,0,Illiterate,39,"8,60,000",8 Lacs,0,
454,Vijay Jadhav,10404,Sarva Janata Party,0,8th Pass,32,"1,00,000",1 Lacs,0,
455,Vijay Krishna Madar,10488,IND,0,Graduate,40,"3,05,301",3 Lacs,"50,000",50 Thou
456,Vijay Laxman Patil,9121,IND,0,Graduate,59,"67,06,796",67 Lacs,0,
457,Vijay Shreenivas C,5127,Uttama Prajaakeeya Party,0,8th Pass,47,"9,77,230",9 Lacs,"5,70,000",5 Lacs
458,Vinay Kulkarni,10409,INC,0,12th Pass,52,"19,78,60,927",19 Crore,0,
459,Vinay Kumar V.Nayak,7349,IND,0,Post Graduate,32,0,0,"1,17,945",1 Lacs
460,Vinayak Balakrishna More,10473,IND,0,Others,26,"2,69,796",2 Lacs,"5,00,000",5 Lacs
461,Vinayak Gopal Gunjatkar,10593,IND,0,Others,48,"2,66,33,646",2 Crore,"11,88,000",11 Lacs
462,Vinod D Ghodke,10412,Proutist Bloc India,0,8th Pass,54,"1,05,000",1 Lacs,"45,000",45 Thou
463,Vinodraj K H,7079,BSP,0,12th Pass,29,"12,90,000",12 Lacs,"38,000",38 Thou
464,Vishwanath Buwaji,10588,IND,0,10th Pass,27,"75,294",75 Thou,0,
465,Vishwnath Kalloli Wajantri,10437,IND,0,12th Pass,29,"1,51,500",1 Lacs,"40,000",40 Thou
466,Y. Devendrappa,7264,BJP,0,5th Pass,67,"4,01,07,878",4 Crore,"2,50,000",2 Lacs
467,Yamanappa Vittal Gunadal,10440,Republican Party of India (Karnataka),2,8th Pass,37,"3,70,000",3 Lacs,0,
468,Yeruru Pampapathi,10453,IND,0,12th Pass,60,"16,00,000",16 Lacs,0,
469,Yogeesh Nagaraj,7685,IND,0,12th Pass,35,0,0,0,
