serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
70,Lakhan Ram Chouhan,9476,Bahujan Mukti Party,0,10th Pass,67,"52,70,000",52 Lacs,0,
71,Laljeet Singh Rathiya,7495,INC,1,Post Graduate,42,"72,54,977",72 Lacs,"20,80,854",20 Lacs
72,Lilambar Singh,8206,Bhartiya Tribal Party,0,Post Graduate,58,"2,04,95,882",2 Crore,0,
73,Mahendra Kumar Sahu,5538,Forward Democratic Labour Party,0,Graduate Professional,35,"17,49,490",17 Lacs,"6,81,000",6 Lacs
74,Malik Ram Thakur,7795,Ambedkarite Party of India,0,10th Pass,57,"81,14,967",81 Lacs,"3,50,000",3 Lacs
75,Mangalaram Karma,7198,Akhil Bharat Samagra Kranti Party,0,12th Pass,40,"17,26,000",17 Lacs,0,
76,Manish Shrivastav,9492,IND,0,12th Pass,45,"18,11,395",18 Lacs,"88,000",88 Thou
77,Manoj Gaykwad Chhattisgarhiya,11144,IND,0,12th Pass,29,"2,500",2 Thou,0,
78,Mathan Singh Markam,7172,Bhartiya Shakti Chetna Party,0,Post Graduate,40,"9,85,000",9 Lacs,0,
79,Maya Prajapati,7509,BSP,0,Post Graduate,40,0,0,0,
80,Mohan Mandavi,7173,BJP,0,Post Graduate,61,"2,86,75,553",2 Crore,"6,79,000",6 Lacs
81,Mohan Singh Tekam,9500,SHS,0,8th Pass,41,"2,82,000",2 Lacs,0,
82,Nand Kishore Raj,9472,Gondvana Gantantra Party,0,Post Graduate,46,"38,42,000",38 Lacs,0,
83,Narend Nag,7174,IND,0,12th Pass,37,"10,12,600",10 Lacs,"23,75,000",23 Lacs
84,Naresh Bai Jangde,8210,SHS,0,12th Pass,30,"18,000",18 Thou,0,
85,Naresh Kumar Dahriya,9475,Rashtriya Gondvana Party,0,Post Graduate,41,"6,81,713",6 Lacs,0,
86,Naval Kishor Rathiya,9485,IND,0,Graduate Professional,29,"1,74,000",1 Lacs,0,
87,Navin Gupta,9496,IND,0,10th Pass,47,"7,13,74,199",7 Crore,"2,06,58,188",2 Crore
88,Nitesh Kumar Ratre,9478,Sunder Samaj Party,0,12th Pass,26,"1,19,500",1 Lacs,0,
89,Palsay Uranv,7823,IND,0,8th Pass,38,0,0,0,
90,Paneesh Prasad Nag,7197,Ambedkarite Party of India,0,Post Graduate,29,"34,44,229",34 Lacs,"6,00,000",6 Lacs
91,Parmit Singh,7801,BSP,1,12th Pass,45,"65,04,950",65 Lacs,"8,40,000",8 Lacs
92,Pawan Kumar Nag,9499,Bahujan Mukti Party,0,Graduate,39,"80,000",80 Thou,0,
93,Pitambar Lal Nishad,8215,Bharat Prabhat Party,0,12th Pass,30,"10,00,000",10 Lacs,"5,50,000",5 Lacs
94,Pokhraj Meshram,8219,Bharatiya Prajatantrik Shudh Gandhiwadi Krish,0,12th Pass,47,"1,22,923",1 Lacs,0,
95,Pooran Lal Chhabariya,7794,Swabhiman Party,1,10th Pass,56,"53,15,000",53 Lacs,"25,00,000",25 Lacs
96,Praksh Kumar Uraon,9489,IND,0,8th Pass,35,"5,20,800",5 Lacs,0,
97,Pramod Dubey,7501,INC,0,Post Graduate,53,"6,46,82,454",6 Crore,"76,05,574",76 Lacs
