serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
89,Karan Singh,13224,IND,0,12th Pass,39,0,0,0,
90,Kashmir Chand Oad,13266,IND,0,12th Pass,69,"1,43,23,000",1 Crore,"4,45,000",4 Lacs
91,Kishan Lal,12511,BSP,0,5th Pass,51,"1,06,38,347",1 Crore,0,
92,Kitab Singh,12176,Peoples Party of India (Democratic),0,5th Pass,61,"42,68,000",42 Lacs,"3,00,000",3 Lacs
93,Krishan,12188,IND,0,12th Pass,33,"89,43,666",89 Lacs,"2,75,000",2 Lacs
94,Krishan Kumar Aggarwal,12506,AAP,0,Graduate Professional,41,"4,71,69,776",4 Crore,"45,04,699",45 Lacs
95,Krishan Pal,12150,BJP,0,Graduate Professional,62,"36,96,52,786",36 Crore,"10,55,93,242",10 Crore
96,Kuldeep Bhukkal,13250,IND,0,12th Pass,26,"2,47,000",2 Lacs,"20,000",20 Thou
97,Kuldip Sharma,13235,INC,0,Graduate Professional,62,"11,33,55,363",11 Crore,"10,11,148",10 Lacs
98,Kundan Kumar,12140,RPI,0,10th Pass,56,"4,78,612",4 Lacs,"4,00,000",4 Lacs
99,Kusheshwar Bhagat,12160,IND,0,8th Pass,48,0,0,0,
100,Kusum Parashar,13215,Mahila & Yuva Shakti Party,0,Post Graduate,41,"51,56,791",51 Lacs,"4,58,635",4 Lacs
101,Lalit,13197,IND,0,Graduate Professional,36,"20,26,000",20 Lacs,0,
102,Lekha Ram Dabang,13291,Bahujan Mukti Party,0,10th Pass,50,"17,79,000",17 Lacs,"6,50,000",6 Lacs
103,Mahabir Mehra Chhilarki,13040,Peoples Party of India (Democratic),0,10th Pass,48,"5,20,000",5 Lacs,0,
104,Mahavir,12203,Rashtriya Mazdoor Ekta Party,0,8th Pass,56,"3,32,000",3 Lacs,0,
105,Mahender Singh Chauhan,13300,INLD,0,10th Pass,66,"6,96,62,663",6 Crore,"15,51,000",15 Lacs
106,Mahesh Pratap Sharma,12154,Rashtriya Vikas Party,0,Others,63,"2,89,86,240",2 Crore,0,
107,Mandhir Maan,12152,BSP,0,10th Pass,43,"6,93,70,850",6 Crore,"26,00,000",26 Lacs
108,Manish,13218,Aapki Apni Party (Peoples),0,12th Pass,29,"88,000",88 Thou,"1,00,000",1 Lacs
109,Manju Devi,13205,Pragatishil Samajwadi Party (Lohia),0,8th Pass,34,0,0,"49,000",49 Thou
110,Manoj,12151,IND,0,Post Graduate,48,"2,65,36,601",2 Crore,"14,47,929",14 Lacs
111,Master Ramesh Khatri Lambardar,13231,IND,1,Graduate Professional,58,"4,50,31,000",4 Crore,"65,000",65 Thou
112,Mohan,13220,AIFB,1,12th Pass,51,"87,02,000",87 Lacs,0,
113,Mohd. Irfan,12143,Bharat Prabhat Party,0,Graduate Professional,41,"1,13,71,062",1 Crore,0,
114,Mukesh Kumar Singh,12149,Lokpriya Samaj Party,0,12th Pass,43,"26,40,084",26 Lacs,0,
115,Naresh Kumar,12507,Pragatishil Samajwadi Party (Lohia),0,Graduate Professional,39,"2,00,000",2 Lacs,0,
116,Naresh Kumar,12136,BSP,0,10th Pass,55,"3,80,90,737",3 Crore,"73,613",73 Thou
117,Navin Jaihind,13289,AAP,4,Doctorate,37,"6,45,550",6 Lacs,0,
118,Nayab Singh,12185,BJP,0,Graduate Professional,49,"3,57,85,621",3 Crore,"57,20,000",57 Lacs
119,Nirmal Singh,12192,Jannayak Janta Party,0,12th Pass,37,0,0,0,
120,Nirmal Singh,13274,INC,1,Graduate,66,"12,63,85,687",12 Crore,"7,04,496",7 Lacs
121,Nitin,13278,Aapki Apni Party (Peoples),3,10th Pass,Unknown,"3,22,000",3 Lacs,0,
122,Om Parkash,12142,SUCI(C),0,Graduate Professional,54,"4,31,718",4 Lacs,0,
123,Pankaj,12175,BSP,0,10th Pass,30,"34,62,000",34 Lacs,0,
124,Pardeep Chahal,13228,IND,0,12th Pass,32,"53,53,000",53 Lacs,0,
125,Parmod Kumar Sharma,12510,IND,0,Graduate Professional,54,"95,78,661",95 Lacs,"14,05,603",14 Lacs
126,Parveen Kumar,13209,IND,0,Post Graduate,35,"8,85,000",8 Lacs,0,
127,Pawan Kumar,13524,SHS,0,12th Pass,30,"4,71,314",4 Lacs,0,
128,Pawan Kumar,12168,Rashtriya Bhagidari Samaj Party,0,Post Graduate,51,"1,27,74,009",1 Crore,"57,326",57 Thou
129,Pawan Nehra,13528,IND,0,Graduate,34,0,0,"3,53,892",3 Lacs
130,Pradeep Kumar,13304,Tola Party,0,Post Graduate,28,"78,00,000",78 Lacs,"56,00,000",56 Lacs
131,Pradeep Kumar Deswal,13204,Jannayak Janta Party,3,Post Graduate,32,"51,50,821",51 Lacs,0,
132,Prithvi Raj,12976,AAP,0,Graduate Professional,61,"3,22,58,582",3 Crore,0,
133,Puran Chand,12975,Rashtriya Lokswaraj Party,0,8th Pass,61,"53,50,000",53 Lacs,0,
134,Pyarelal Chohan Advocate,12164,IND,0,Graduate Professional,71,"1,44,50,000",1 Crore,0,
135,Rais Ahmad,12163,BSP,0,Graduate,58,"45,93,17,500",45 Crore,"8,40,82,104",8 Crore
136,Raj Bala Saini,12200,Loktanter Suraksha Party,0,Post Graduate,44,"3,82,02,783",3 Crore,"14,95,000",14 Lacs
137,Raj Kumari,13279,Bharat Prabhat Party,0,Post Graduate,35,"22,000",22 Thou,0,
138,Rajbir,13206,Aapki Apni Party (Peoples),0,Graduate,26,"37,85,000",37 Lacs,0,
139,Rajender Kumar Bhatli,12977,Bhartiya Shakti Chetna Party,0,10th Pass,49,0,0,"76,500",76 Thou
140,Rajender Sirsa,13264,IND,0,12th Pass,40,"6,90,377",6 Lacs,0,
141,Rajesh Chaubara,13263,Revolutionary Marxist Party of India,0,10th Pass,39,"1,81,500",1 Lacs,0,
142,Rajesh Sharma,13221,Pragatishil Samajwadi Party (Lohia),0,Graduate,39,"70,05,038",70 Lacs,0,
143,Rajnish Kumar,13195,IND,0,Post Graduate,37,"77,14,944",77 Lacs,"2,15,000",2 Lacs
144,Rakesh Kumar,13290,Aapki Apni Party (Peoples),0,10th Pass,36,"1,64,500",1 Lacs,"1,00,000",1 Lacs
145,Ram Kishan,13196,IND,0,10th Pass,58,"2,99,12,701",2 Crore,"4,12,000",4 Lacs
146,Ram Kishan Gola,12148,AIFB,0,Others,44,"2,55,82,047",2 Crore,"29,75,000",29 Lacs
147,Ram Kishan Sain,13210,IND,0,10th Pass,55,"3,44,30,000",3 Crore,"10,50,000",10 Lacs
148,Ram Narayan,12180,Bhartiya Jan Samman Party,0,12th Pass,29,"2,02,000",2 Lacs,"1,07,000",1 Lacs
149,Ram Pal,12973,INLD,1,10th Pass,61,0,0,0,
150,Rambir,13211,IND,0,12th Pass,27,"3,53,565",3 Lacs,0,
151,Ramdiya,13222,Samajik Nyaya Party,0,8th Pass,76,"11,89,642",11 Lacs,0,
152,Ramesh Chand,13034,Bahujan Mukti Party,0,10th Pass,67,"22,53,119",22 Lacs,0,
153,Ramesh Chander Kaushik,12197,BJP,0,Graduate Professional,62,"23,58,59,266",23 Crore,0,
154,Ramesh Chander Khatkar,12184,IND,1,Graduate Professional,38,"36,372",36 Thou,"16,63,000",16 Lacs
155,Ramesh Kumar,13042,Rashtriya Sahara Party,0,Graduate,48,"1,92,200",1 Lacs,0,
156,Ramesh Rao Pilot,13189,Loktanter Suraksha Party,0,Graduate Professional,46,"9,14,65,000",9 Crore,"1,43,67,975",1 Crore
157,Rameshwar Dass,13285,IND,0,10th Pass,49,"1,47,82,145",1 Crore,0,
158,Ranjeet Singh,12137,IND,1,5th Pass,38,"7,70,000",7 Lacs,0,
159,Rao Inderjeet,13527,IND,0,10th Pass,37,0,0,"52,000",52 Thou
160,Rao Inderjit Singh,12158,BJP,0,Graduate Professional,69,"42,09,70,754",42 Crore,"3,15,00,000",3 Crore
161,Rattan Lal,12990,IND,0,Graduate,69,"27,49,348",27 Lacs,"4,12,714",4 Lacs
162,Rattan Lal Kataria,12135,BJP,0,Post Graduate,67,"5,43,61,499",5 Crore,"1,88,861",1 Lacs
163,Ravinder Kumar,13232,IND,0,Graduate,37,"3,34,313",3 Lacs,"80,000",80 Thou
164,Roshan Lal Muwal,13286,IND,0,Post Graduate,60,"1,94,75,113",1 Crore,0,
165,Ruby,13293,Hind Congress Party,0,8th Pass,36,"2,50,000",2 Lacs,0,
166,Sachin Gaba,12182,IND,0,Graduate,37,"41,80,000",41 Lacs,"3,31,225",3 Lacs
167,Sahiram Rawat,13305,Voters Party,1,8th Pass,50,"6,01,24,564",6 Crore,"18,08,888",18 Lacs
168,Salesh Kumar,13191,Pragatishil Samajwadi Party (Lohia),1,8th Pass,45,"19,66,255",19 Lacs,0,
169,Sandeep,12172,Bharat Prabhat Party,0,Graduate Professional,30,0,0,"21,67,671",21 Lacs
170,Sandeep Kumar Kaushik,13280,Rashtriya Lokswaraj Party,0,12th Pass,38,"32,46,000",32 Lacs,"1,30,000",1 Lacs
171,Sandeep Singh,12979,Aapki Apni Party (Peoples),0,8th Pass,26,"6,45,000",6 Lacs,0,
172,Sandeep Singh,13287,IND,8,Post Graduate,35,"99,41,078",99 Lacs,"22,18,377",22 Lacs
173,Sanjay Bhatia,12177,BJP,0,Graduate,51,"22,56,739",22 Lacs,"5,00,000",5 Lacs
174,Sanjay Maurya,12146,IND,0,8th Pass,45,"3,64,174",3 Lacs,0,
175,Sant Dharamveer Chotiwala,13217,Bahujan Maha Party,0,Graduate Professional,47,"4,04,40,000",4 Crore,"1,50,000",1 Lacs
176,Satbir,13190,Aapki Apni Party (Peoples),0,10th Pass,44,"3,36,000",3 Lacs,0,
177,Satinder Rathi,13234,IND,0,Graduate,52,"2,22,39,323",2 Crore,"1,03,75,000",1 Crore
178,Satish Kumar Singal,13288,IND,0,Post Graduate,59,"1,01,90,000",1 Crore,0,
179,Satish Raj,12199,IND,0,Graduate,50,0,0,"1,31,427",1 Lacs
180,Satya Pal,13199,IND,0,Graduate Professional,Unknown,"2,45,80,075",2 Crore,"1,07,400",1 Lacs
181,Satyavir Singh,13213,IND,0,Graduate Professional,43,"36,74,081",36 Lacs,0,
182,Selja,12974,INC,0,Post Graduate,56,"24,05,08,152",24 Crore,0,
183,Sharvan Kumar,12162,SUCI(C),0,10th Pass,51,"2,01,42,297",2 Crore,"10,29,600",10 Lacs
184,Shashi,13275,BSP,0,Graduate Professional,59,"5,48,61,000",5 Crore,0,
185,Shashi Bharat Bhushan,13247,Pragatishil Samajwadi Party (Lohia),0,Graduate Professional,54,"1,93,11,111",1 Crore,"25,09,621",25 Lacs
186,Shiyanand Tyagi,13233,IND,0,Graduate Professional,55,"8,31,35,000",8 Crore,"6,50,000",6 Lacs
187,Shruti Choudhry,13188,INC,0,Graduate Professional,43,"1,01,61,18,000",101 Crore,"15,10,84,000",15 Crore
188,Shyamvir,13302,Rashtriya Lokswaraj Party,0,Graduate Professional,39,"73,52,013",73 Lacs,"6,50,000",6 Lacs
189,Subhash,13281,Pragatishil Samajwadi Party (Lohia),0,Graduate,47,0,0,0,
190,Sudesh Kumar,13529,IND,0,12th Pass,32,"49,91,000",49 Lacs,"13,85,000",13 Lacs
191,Sudhir Kumar,13200,IND,0,Graduate Professional,32,"77,57,684",77 Lacs,"29,18,666",29 Lacs
192,Sudhir Kumar,13223,Bharat Prabhat Party,0,Graduate,42,"1,14,200",1 Lacs,"42,000",42 Thou
193,Sukhbir,13207,Dalit Soshit Pichhara Varg Adhikar Dal,0,8th Pass,41,"3,19,887",3 Lacs,"90,000",90 Thou
194,Sukhbir Singh,12165,CPI(M),0,Post Graduate,36,"14,34,354",14 Lacs,0,
195,Sukhmandar Singh Kharb,12202,Rashtriya Jatigat Aarakshan Virodhi Party,0,10th Pass,31,"35,28,000",35 Lacs,0,
196,Sumer Chand,13282,Peoples Party of India (Democratic),0,5th Pass,63,"33,11,000",33 Lacs,0,
197,Sumit Kumar,13249,IND,0,Others,26,"1,35,000",1 Lacs,0,
198,Sunita Duggal,12190,BJP,0,Post Graduate,51,"4,25,96,349",4 Crore,"25,00,000",25 Lacs
199,Suraj Bhan,12991,IND,0,Post Graduate,62,0,0,0,
200,Suraj Bhan Narwal,12981,Pragatishil Samajwadi Party (Lohia),0,Graduate,64,"1,57,44,841",1 Crore,"8,00,000",8 Lacs
201,Suraj Kumar,12980,Bahujan Mukti Party,0,12th Pass,36,"13,60,000",13 Lacs,0,
202,Surajmal Athwal,13272,IND,0,10th Pass,61,"1,10,04,576",1 Crore,"3,94,000",3 Lacs
203,Surender Kumar,13271,IND,0,12th Pass,41,"2,06,000",2 Lacs,0,
204,Surender Kumar Chhikara,12201,INLD,0,12th Pass,49,"40,66,48,321",40 Crore,"16,45,47,432",16 Crore
205,Suresh Chand,12141,IND,0,5th Pass,65,"12,19,500",12 Lacs,"60,000",60 Thou
206,Suresh Koth,13244,INLD,4,Graduate,50,"23,79,971",23 Lacs,0,
207,Surinder Sharma,13243,BSP,0,10th Pass,58,"1,16,53,061",1 Crore,0,
208,Swati Yadav,13193,Jannayak Janta Party,0,Post Graduate,30,"9,15,21,178",9 Crore,"4,59,67,727",4 Crore
209,Tika Ram,13298,IND,0,Graduate Professional,43,0,0,"3,00,000",3 Lacs
210,Tilak Raj,13240,Rashtriya Garib Dal,1,Post Graduate,60,"11,15,000",11 Lacs,"3,25,000",3 Lacs
211,Varun Kumar Jaglan,12978,Peoples Party of India (Democratic),0,Graduate Professional,32,"4,26,000",4 Lacs,"12,36,829",12 Lacs
212,Vicky Chinalya,13241,Samajik Nyaya Party,0,Others,27,"35,500",35 Thou,"20,000",20 Thou
213,Vijender Kumar Kasana,12153,Bhartiya Kisan Party,0,Post Graduate,53,"2,67,70,000",2 Crore,"3,79,000",3 Lacs
214,Vikas Godara,13246,Rashtriya Lokswaraj Party,0,Graduate,36,"3,79,55,250",3 Crore,"4,50,000",4 Lacs
215,Vikram Singh,12186,Bhartiya Shakti Chetna Party,0,Graduate,44,"25,378",25 Thou,"17,000",17 Thou
216,Vinay,13212,IND,0,Graduate Professional,37,"99,84,989",99 Lacs,"7,86,068",7 Lacs
217,Vinod Kumar,13525,Aapki Apni Party (Peoples),0,10th Pass,40,"61,500",61 Thou,0,
218,Vinod Kumar,13198,IND,0,Graduate,40,"6,48,774",6 Lacs,"80,000",80 Thou
219,Vinod Kumar Sirkiband (Gihara),13269,IND,0,Literate,42,0,0,0,
220,Virender Rana,13038,INLD,0,Post Graduate,46,"1,02,58,63,217",102 Crore,0,
221,Virender Singh,13270,IND,0,12th Pass,40,"8,55,330",8 Lacs,0,
222,Virender Singh,12161,IND,0,Post Graduate,58,"3,53,73,475",3 Crore,"82,21,073",82 Lacs
