serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
89,Harchand Singh,13611,Revolutionary Socialist Party,0,5th Pass,55,0,0,0,
90,Hardeep Singh Puri,13127,BJP,0,Post Graduate,67,"34,05,05,737",34 Crore,"5,79,40,950",5 Crore
91,Hari Mitter,13548,Peoples Party of India (Democratic),0,5th Pass,49,"8,03,049",8 Lacs,0,
92,Harjinder Singh,13716,IND,0,Illiterate,27,"16,000",16 Thou,0,
93,Harjinder Singh Kaka Sran,13167,AAP,0,Graduate,49,"61,22,270",61 Lacs,"2,00,000",2 Lacs
94,Harjit Kaur,13816,IND,0,10th Pass,31,"3,20,000",3 Lacs,0,
95,Harmander Singh,13166,Samaj Adhikar Kalyan Party,0,5th Pass,37,"6,86,500",6 Lacs,0,
96,Harmesh Sharma,13603,Jai Jawan Jai Kisan Party,0,12th Pass,47,"1,59,60,000",1 Crore,"10,00,000",10 Lacs
97,Harpal Singh,13832,IND,0,Graduate,46,"84,89,000",84 Lacs,"10,00,000",10 Lacs
98,Harpal Singh,13185,Ambedkarite Party of India,0,Post Graduate,61,"24,37,000",24 Lacs,0,
99,Harpreet Singh,13819,IND,1,10th Pass,39,0,0,0,
100,Harsimrat Kaur Badal,13173,SAD,0,10th Pass,52,"2,17,99,19,870",217 Crore,"95,48,52,600",95 Crore
101,Jagan Nath Bajwa,13558,Hum Bhartiya Party,0,5th Pass,60,"36,83,182",36 Lacs,"4,81,000",4 Lacs
102,Jagir Kaur,13844,IND,0,Illiterate,48,"4,65,000",4 Lacs,0,
103,Jagir Kaur,13134,SAD,1,Graduate Professional,65,"13,91,93,710",13 Crore,"50,98,845",50 Lacs
104,Jagmail Singh,13740,IND,0,12th Pass,32,"12,20,000",12 Lacs,0,
105,Jagmeet Singh,13588,IND,0,Graduate,38,"31,19,000",31 Lacs,0,
106,Jagmohan Krishan,13181,Janral Samaj Party,0,Post Graduate,61,"2,49,78,160",2 Crore,"1,58,806",1 Lacs
107,Jagneet Singh,13762,IND,0,12th Pass,25,"1,20,728",1 Lacs,"5,120",5 Thou
108,Jai Parkash Jain,13563,IND,0,10th Pass,40,"15,37,037",15 Lacs,0,
109,Jasbir Singh,13809,IND,1,Illiterate,55,0,0,0,
110,Jasbir Singh,13817,Bahujan Samaj Party (Ambedkar),0,5th Pass,33,"2,51,000",2 Lacs,0,
111,Jasbir Singh Gill,13131,INC,0,Others,48,"8,13,93,500",8 Crore,"46,55,000",46 Lacs
112,Jasdeep Singh,13565,IND,0,10th Pass,30,"39,28,190",39 Lacs,"12,69,143",12 Lacs
113,Jaspal Singh,13715,IND,0,5th Pass,42,"4,31,000",4 Lacs,0,
114,Jasraj Singh Longia,13794,Lok Insaaf Party,0,Graduate,46,"1,70,41,210",1 Crore,"1,17,00,000",1 Crore
115,Jaswant Singh,13796,Rashtriya Janshakti Party (Secular),0,Literate,56,"22,30,000",22 Lacs,0,
116,Jaswinder Singh,13587,IND,0,Literate,36,"3,51,500",3 Lacs,"80,000",80 Thou
117,Jatinder Singh Thind,13596,IND,1,Graduate,31,"5,83,000",5 Lacs,"1,00,000",1 Lacs
118,Jodh Singh Thandi,13764,Bhartiya Lok Seva Dal,0,12th Pass,59,"68,67,190",68 Lacs,"6,86,149",6 Lacs
119,Jora Singh Sroay,13137,AAP,0,Graduate Professional,69,0,0,"9,69,208",9 Lacs
120,Kabal Singh,13656,IND,0,10th Pass,58,"4,99,000",4 Lacs,"27,190",27 Thou
121,Kamaljeet Singh,13608,Democratic Party of India (Ambedkar),0,5th Pass,50,"3,60,000",3 Lacs,"35,000",35 Thou
122,Karam Singh,13823,IND,0,12th Pass,42,"16,40,000",16 Lacs,0,
123,Karandeep Singh,13612,IND,0,Others,41,"35,04,010",35 Lacs,"3,78,423",3 Lacs
124,Kartar Singh,13833,IND,0,8th Pass,67,"52,99,671",52 Lacs,"1,76,080",1 Lacs
125,Kashmir Singh,13547,IND,0,10th Pass,40,"6,18,277",6 Lacs,0,
126,Kashmir Singh,13647,IND,0,5th Pass,60,"16,01,000",16 Lacs,0,
127,Kashmir Singh,13840,IND,0,Illiterate,66,"51,80,900",51 Lacs,0,
128,Kasim Deen,13821,IND,0,Illiterate,44,"1,46,300",1 Lacs,0,
129,Kawaljeet Singh,13768,Hind Congress Party,1,5th Pass,54,0,0,"8,80,000",8 Lacs
130,Kawaljit Singh Sahota,13128,Bahujan Samaj Party (Ambedkar),0,10th Pass,39,"2,82,275",2 Lacs,0,
131,Kewal Krishan,13130,Bahujan Mukti Party,0,Post Graduate,63,"22,00,000",22 Lacs,"50,000",50 Thou
132,Kewal Singh Dhillon,13177,INC,0,12th Pass,68,"1,31,07,93,341",131 Crore,"10,06,05,212",10 Crore
