serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
474,Omkar Nath Tiwari,9862,Hindusthan Nirman Dal,0,Graduate,32,"8,41,300",8 Lacs,"1,89,156",1 Lacs
475,Omprakash Bhupalsinh Alias Pavan Rajenimbalkar,5193,Shiv Sena (Uddhav Balasaheb Thackeray),4,12th Pass,35,"5,02,99,295",5 Crore,"1,00,45,858",1 Crore
476,Omprakash Shrilal Pal,10693,IND,1,10th Pass,35,"32,10,000",32 Lacs,0,
477,Onkaraba Chensing Jadhav,10851,IND,0,12th Pass,56,"1,43,000",1 Lacs,0,
478,Ovhal Rahul Raghunath,10012,Vanchit Bahujan Aaghadi,2,8th Pass,36,"11,99,794",11 Lacs,"60,000",60 Thou
479,Padalkar Navanath Vishnu,8692,Vanchit Bahujan Aaghadi,1,Post Graduate,43,0,0,"37,00,190",37 Lacs
480,Panchshila Vijay Mohod,6403,Bahujan Mukti Party,0,Graduate,59,"54,52,000",54 Lacs,"4,00,000",4 Lacs
481,Pandey Harshvardhan Ramsuresh,10992,IND,0,Graduate,29,"85,11,000",85 Lacs,"54,29,000",54 Lacs
482,Pandharinath Chaitram More,9806,Bhartiya Tribal Party,0,Post Graduate,36,"20,71,000",20 Lacs,0,
483,Pandharinath Namdeo Patil,10007,Bahujan Mukti Party,0,10th Pass,47,"2,44,60,000",2 Crore,0,
484,Pandit Damodhar Khande,8623,IND,0,10th Pass,38,"6,95,000",6 Lacs,"42,000",42 Thou
485,Panjabrao Mahadev Patil,9456,IND,1,5th Pass,53,"59,26,000",59 Lacs,"3,30,000",3 Lacs
486,Pankaj Liladhar Meshram,6404,IND,0,Graduate,47,"26,25,300",26 Lacs,0,
487,Papita Raosaheb Randive,6573,IND,0,12th Pass,37,0,0,"2,00,000",2 Lacs
488,Parashram Bhaosing Ade,6116,IND,0,Post Graduate,64,"18,73,01,769",18 Crore,"4,17,919",4 Lacs
489,Paresh Dattatray Bhosale,8728,IND,0,12th Pass,38,0,0,0,
490,Parth Ajit Pawar,10005,NCP,0,Graduate,29,"20,12,39,333",20 Crore,"9,36,13,295",9 Crore
491,Pathan Musakhan Yunuskhan,8621,IND,0,Graduate,46,"6,16,000",6 Lacs,"16,000",16 Thou
492,Pathan Sarfarzkhan Mahetabkhan,8622,IND,0,10th Pass,33,"51,000",51 Thou,0,
493,Patil Hemant Shriram,6559,SHS,0,Graduate,48,"1,85,94,458",1 Crore,"12,99,983",12 Lacs
494,Patil Raghunath Ramchandra,10863,IND,9,Graduate Professional,68,"3,09,95,000",3 Crore,"10,00,000",10 Lacs
495,Patil Sanjay Dina,9949,NCP,1,Graduate,50,"2,61,09,673",2 Crore,0,
496,Patil Vishal Prakashrao,8766,Swabhimani Paksha,3,Graduate,38,"21,71,56,936",21 Crore,"10,30,62,594",10 Crore
