serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
0,Agatha K. Sangma,4932,NPP,0,Post Graduate,38,"2,94,06,813",2 Crore,0,
1,Dr. Mukul Sangma,5397,INC,0,Graduate Professional,53,"13,67,35,735",13 Crore,"34,08,159",34 Lacs
2,Jemino Mawthoh,4708,United Democratic Party,0,Doctorate,54,"1,14,32,184",1 Crore,"11,78,370",11 Lacs
3,Rikman Garrey Momin,5398,BJP,0,Others,55,"10,25,030",10 Lacs,0,
4,Romeo Phira Rani,5401,IND,0,12th Pass,51,"1,10,97,844",1 Crore,0,
5,Samuel Hashah,4707,IND,0,12th Pass,32,"2,05,000",2 Lacs,0,
6,Sanbor Shullai,5399,BJP,0,10th Pass,52,"6,61,68,175",6 Crore,0,
7,T.H.S. Bonney,4706,IND,0,Post Graduate,58,"5,37,58,447",5 Crore,"12,69,345",12 Lacs
8,Vincent H. Pala,4781,INC,0,Graduate Professional,51,"54,95,15,421",54 Crore,0,
