serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
0,C Lalrosanga,4900,MNF,0,Graduate,62,"13,12,01,374",13 Crore,0,
1,Lal Hriatrenga Chhangte,4901,IND,0,Graduate Professional,54,"1,34,99,370",1 Crore,"25,00,000",25 Lacs
2,Lalnghinglova Hmar,5118,IND,0,Post Graduate,41,"1,38,91,235",1 Crore,"60,00,000",60 Lacs
3,Lalthlamuani,5119,IND,0,Illiterate,63,"44,35,455",44 Lacs,"5,00,000",5 Lacs
4,Nirupam Chakma,5683,BJP,0,Graduate Professional,59,"1,56,55,480",1 Crore,"10,16,188",10 Lacs
5,Tbc Lalvenchhunga,5682,PRISM Party,0,10th Pass,36,"77,24,713",77 Lacs,"21,45,065",21 Lacs
