serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
0,Abdul Khader Haji,7958,BJP,0,5th Pass,70,"3,88,24,182",3 Crore,0,
1,Ali Akbar K.,7959,CPI,0,10th Pass,31,"5,000",5 Thou,0,
2,Dr. Mohammed Sadique Kp,4963,JD(U),0,Post Graduate,46,"4,97,83,111",4 Crore,"28,87,460",28 Lacs
3,Mohammed Faizal Pp,4964,NCP,2,Post Graduate,43,"9,38,641",9 Lacs,0,
4,Muhammed Hamdullah Sayeed,4965,INC,0,Graduate Professional,36,"9,50,47,817",9 Crore,"4,45,771",4 Lacs
5,Shareef Khan,4962,CPI(M),3,10th Pass,39,"22,68,712",22 Lacs,0,
