serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
173,Sagar Ram,10247,Akhil Bharat Hindu Mahasabha,0,Illiterate,43,"57,78,100",57 Lacs,"43,000",43 Thou
174,Samuel Tudu,13952,IND,0,8th Pass,45,"47,000",47 Thou,0,
175,Saniya Oraon,11253,IND,1,8th Pass,49,"10,48,129",10 Lacs,0,
176,Sanjay Oraon,10263,IND,0,8th Pass,41,"13,52,000",13 Lacs,0,
177,Sanjay Paswan,12896,IND,0,8th Pass,34,"50,000",50 Thou,0,
178,Sanjay Seth,11383,BJP,0,Graduate Professional,60,"1,40,44,267",1 Crore,"1,00,000",1 Lacs
179,Sanjeev Kumar Mahato,12887,IND,0,12th Pass,39,0,0,0,
180,Sarfaraj Ahmad,11371,BSP,1,12th Pass,31,"25,38,727",25 Lacs,"11,00,000",11 Lacs
181,Sarita Anand,13351,IND,0,Graduate,38,"1,40,22,115",1 Crore,"70,93,866",70 Lacs
182,Satish Singh,11372,IND,0,Graduate Professional,35,"62,42,098",62 Lacs,"3,00,000",3 Lacs
183,Satish Soren,13945,Jharkhand Peoples Party,0,Graduate,73,"39,36,986",39 Lacs,0,
184,Satyendra Kumar Paswan,10297,IND,0,12th Pass,40,"1,05,85,000",1 Crore,"2,00,000",2 Lacs
185,Senapati Murmu,13002,CPI,0,10th Pass,45,"24,68,599",24 Lacs,"3,41,860",3 Lacs
186,Shailesh Kumar Singh,13350,IND,0,Graduate,49,"3,00,68,000",3 Crore,0,
187,Sharvan Kumar Panna,10264,BSP,0,Literate,40,"19,73,500",19 Lacs,"50,000",50 Thou
188,Shaukat Ali,10248,Bharatiya Momin Front,0,8th Pass,52,"17,10,000",17 Lacs,"5,50,000",5 Lacs
189,Shekh Akhir Uddin,12221,Jharkhand Party (Naren),2,8th Pass,54,0,0,"50,000",50 Thou
190,Shibu Singh,12889,Bhartiya Manavadhikaar Federal Party,0,Graduate,46,"16,98,452",16 Lacs,0,
191,Shibu Soren,12722,JMM,0,10th Pass,72,"7,25,93,962",7 Crore,"1,49,99,229",1 Crore
192,Shivnath Saw,11366,AIFB,0,10th Pass,33,"33,18,988",33 Lacs,0,
193,Shravan Kumar Ravi,10299,IND,0,10th Pass,37,"9,55,600",9 Lacs,"22,000",22 Thou
194,Shyam Narayan Bhuiya,10300,Bahujan Mukti Party,2,8th Pass,61,"1,71,30,000",1 Crore,0,
195,Sibil Kandulna,11360,Rashtriya Sangail Party,0,Graduate,64,"46,28,483",46 Lacs,0,
196,Siddharth Gautam,12895,IND,2,10th Pass,33,"1,76,51,935",1 Crore,0,
197,Sidheshwar Singh,11374,SUCI(C),0,Literate,72,"8,19,326",8 Lacs,0,
198,Simmi Suman,12215,IND,0,Post Graduate,32,"1,05,55,000",1 Crore,"57,00,000",57 Lacs
199,Sohrab Shah,13345,Bahujan Mukti Party,0,Literate,56,0,0,0,
