serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
577,Ramaswamy S,7945,IND,0,Graduate,45,"7,09,000",7 Lacs,0,
578,"Ramaswamy, M.",8523,IND,0,Post Graduate,66,"5,61,29,105",5 Crore,0,
579,Ramesh K.K,4765,IND,1,Graduate,47,0,0,0,
580,Ramesh S,5230,IND,0,10th Pass,39,"26,42,293",26 Lacs,0,
581,Ramesh T,4744,Ahimsa Socialist Party,0,10th Pass,39,"30,05,000",30 Lacs,0,
582,Ramesh T.R,7538,IND,0,10th Pass,39,"39,59,728",39 Lacs,"1,56,000",1 Lacs
583,"Ramesh, A.",8036,IND,0,10th Pass,36,"1,60,684",1 Lacs,0,
584,Rameshbabu R,5252,Naam Tamilar Katchi,0,Post Graduate,41,"1,00,60,000",1 Crore,"8,50,000",8 Lacs
585,Rasa.A,7558,Naam Tamilar Katchi,3,12th Pass,57,"1,56,68,882",1 Crore,0,
586,Rathinasigamani M,7947,IND,0,12th Pass,63,"41,200",41 Thou,0,
587,Ravi Kumar. T,7505,IND,0,Illiterate,42,"25,02,516",25 Lacs,0,
588,Ravi S P,8905,IND,0,Graduate Professional,34,"1,40,000",1 Lacs,0,
589,"Ravi Sankar, J.",8913,IND,0,12th Pass,46,0,0,0,
590,Ravi T,8262,Makkal Needhi Maiam,0,Others,49,"28,64,000",28 Lacs,"5,00,000",5 Lacs
591,Ravi. K,7963,Anti Corruption Dynamic Party,0,Graduate Professional,33,"13,53,000",13 Lacs,"15,30,000",15 Lacs
592,Ravi.A,7576,IND,0,5th Pass,57,"49,000",49 Thou,"3,00,000",3 Lacs
593,Ravichandran K,8931,IND,0,12th Pass,47,"2,50,000",2 Lacs,0,
594,Ravichandran M,8672,IND,0,Post Graduate,55,"1,72,90,000",1 Crore,"1,25,79,000",1 Crore
595,Ravikumar D,8529,DMK,0,Doctorate,58,"65,09,860",65 Lacs,"13,69,031",13 Lacs
596,Refayudeen. M,8176,Makkal Needhi Maiam,0,8th Pass,46,"86,06,404",86 Lacs,"61,00,000",61 Lacs
597,Rukumani Devi.R,5246,Naam Tamilar Katchi,0,Post Graduate,30,"13,78,000",13 Lacs,0,
598,S Kalyanasundaram,5857,Naam Tamilar Katchi,0,Post Graduate,36,"8,55,083",8 Lacs,0,
599,S. Dhanasekaran,8283,IND,0,10th Pass,37,0,0,0,
600,S. Ganesh,6391,IND,0,Graduate Professional,38,"1,97,000",1 Lacs,0,
601,S. Jagathrakshakan,5843,DMK,2,10th Pass,71,"1,14,69,84,897",114 Crore,"16,63,65,972",16 Crore
602,S. Mohamed Ali Jinnah,8965,IND,0,10th Pass,37,"2,93,000",2 Lacs,0,
603,S. Prithviraj,6408,IND,0,12th Pass,25,"7,07,000",7 Lacs,0,
604,S. Robert Gnana Sekar,6386,BSP,0,Post Graduate,43,"3,25,000",3 Lacs,0,
605,S. Selvaraj,6393,IND,0,Graduate Professional,43,"9,73,400",9 Lacs,0,
606,S. Shanmugam,14208,IND,0,10th Pass,47,"3,59,264",3 Lacs,0,
607,S. Shettu,8597,IND,0,Graduate,46,"2,56,100",2 Lacs,0,
608,S. Tamil Selvan,6480,IND,0,10th Pass,43,"1,55,000",1 Lacs,0,
609,S.Ashok,8644,IND,0,Graduate Professional,47,0,0,0,
610,S.Elankumaran,8646,IND,0,Graduate Professional,49,"3,49,250",3 Lacs,0,
611,S.Ganesa Kumar,8584,IND,1,10th Pass,50,"72,27,602",72 Lacs,"10,57,578",10 Lacs
612,S.Manova,6417,IND,0,Graduate Professional,28,"1,14,029",1 Lacs,0,
613,S.Sargunam,6375,IND,0,Graduate Professional,42,"6,19,500",6 Lacs,0,
614,S.Srinivasan,8639,RPI,1,10th Pass,57,"20,09,12,500",20 Crore,0,
615,"Sababathi, S.",8295,IND,0,Graduate,26,"2,80,000",2 Lacs,0,
616,"Sabari Ponraj, B.",8061,IND,0,Graduate,32,"4,70,000",4 Lacs,0,
617,Sadaiyan.M,5269,BSP,0,Graduate Professional,38,"4,25,000",4 Lacs,0,
618,Saikumar.S,4734,SUCI(C),0,12th Pass,53,"1,000",1 Thou,0,
619,"Sakkaravarthy, P.",8050,All India Puratchi Thalaivar Makkal Munnettra,0,Graduate,59,0,0,"30,00,000",30 Lacs
620,Sakthi Priya V,5321,Naam Tamilar Katchi,0,Post Graduate,27,"4,67,200",4 Lacs,"42,000",42 Thou
621,Sakthivel K,8537,Tamil Nadu Ilangyar Katchi,0,Post Graduate,37,"1,00,199",1 Lacs,0,
622,Sakthivel S,5262,BSP,0,Others,55,"22,36,500",22 Lacs,0,
623,Sakthivel S,7551,IND,0,8th Pass,50,"13,36,000",13 Lacs,0,
624,Sakthivel.V,8571,IND,0,12th Pass,41,"1,45,75,062",1 Crore,"62,367",62 Thou
625,Sakthiyvel N.K.S,7527,IND,6,Post Graduate,47,"1,25,40,000",1 Crore,0,
626,Sam Paul S R,5214,Pattali Makkal Katchi,0,Post Graduate,41,"29,95,12,500",29 Crore,"25,80,28,373",25 Crore
