serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
470,Mohd. Salim Ahmed,6155,Sabse Achchhi Party,0,Literate,50,"32,52,000",32 Lacs,0,
471,Mohd. Shakeel (Adv.),7116,Lok Dal,2,Post Graduate,46,"16,96,000",16 Lacs,0,
472,Mohd. Uvais,6078,Pragatishil Samajwadi Party (Lohia),0,10th Pass,54,"28,16,921",28 Lacs,0,
473,Mohinder Kumar,12551,Sarvshreshth Dal,0,12th Pass,46,"2,36,613",2 Lacs,0,
474,Mojilal,11798,Rashtriya Janadhikar Party,0,8th Pass,44,"8,86,000",8 Lacs,0,
475,Molhey Ram Rawat,11404,IND,0,10th Pass,77,"2,25,928",2 Lacs,"35,000",35 Thou
476,Motiuddin,13497,Rashtriya Ulama Council,0,10th Pass,35,"50,000",50 Thou,0,
477,Mubarak Ali,11848,AIFB,4,Graduate,42,"88,15,914",88 Lacs,0,
478,Mukesh Devi,5463,Mahasankalp Janta Party,0,Literate,41,"6,80,000",6 Lacs,0,
479,Mukesh Kumar,11824,SHS,0,12th Pass,59,0,0,0,
480,Mukesh Kumar,6110,AIFB,0,8th Pass,43,"28,80,000",28 Lacs,0,
481,Mukesh Rajput,9660,BJP,0,Graduate,50,"7,49,64,501",7 Crore,"3,88,246",3 Lacs
482,Mukti Yadav,9739,Bharatiya Rashtriya Morcha,0,Post Graduate,29,"4,00,000",4 Lacs,0,
483,Mukut Bihari,12548,BJP,0,Graduate Professional,71,"2,41,16,406",2 Crore,"12,848",12 Thou
484,Mulayam Singh Yadav,7433,SP,1,Post Graduate,79,"20,56,04,593",20 Crore,"2,20,55,657",2 Crore
485,Munesh Singh,8372,IND,0,8th Pass,46,"22,60,371",22 Lacs,0,
486,Munni,11858,IND,0,Illiterate,41,0,0,0,
487,Musaraat Hussain,8363,IND,0,Graduate,58,"83,47,923",83 Lacs,0,
488,N.P. Kushwaha Alias Nathuni Prasad Kushwaha,12934,SP,0,Post Graduate,65,"3,74,74,062",3 Crore,"40,00,000",40 Lacs
489,Nabban Khan,12425,CPI,0,Literate,63,0,0,0,
490,Nadir,8367,Peace Party,3,10th Pass,45,"88,96,218",88 Lacs,0,
491,Nagendra Kumar,9717,Rashtrawadi Shramjeevi Dal,0,12th Pass,29,"40,000",40 Thou,0,
