serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
218,L Ashok Nath,6809,IND,0,12th Pass,49,"2,49,000",2 Lacs,0,
219,Lakavath Nageswara Rao,6896,Bahujan Mukti Party,0,Graduate,27,0,0,"1,90,000",1 Lacs
220,Lalu Naik Ramavath,6842,Bahujana Raajyam Party (Phule Ambedkar),0,Others,54,"13,70,000",13 Lacs,"1,00,000",1 Lacs
221,Laxman Ganna,6647,IND,0,12th Pass,37,"1,25,000",1 Lacs,0,
222,Laxmana Chary Bhanala,6904,IND,0,5th Pass,55,"30,000",30 Thou,0,
223,Limba Reddy Perkit,6648,IND,0,8th Pass,32,"29,42,929",29 Lacs,"8,98,000",8 Lacs
224,Limbaiah Somidi,6649,IND,0,Graduate,40,"2,55,000",2 Lacs,0,
225,Linga Reddy Doddikindi,6651,IND,0,10th Pass,51,"31,83,594",31 Lacs,"10,98,000",10 Lacs
226,Linga Reddy Santha,4831,IND,0,10th Pass,36,"18,03,500",18 Lacs,"1,00,000",1 Lacs
227,Lingapuram Bhumeshwar,6652,IND,0,Illiterate,37,"19,61,500",19 Lacs,"50,000",50 Thou
228,Lingidi Venkateswarlu,6858,IND,0,Post Graduate,61,"1,25,33,638",1 Crore,"38,90,240",38 Lacs
229,Lithesh Sunkari,6843,Social Justice Party of India,0,Post Graduate,30,0,0,0,
230,Loka Subhash,4836,IND,1,Illiterate,40,"54,04,257",54 Lacs,"1,50,000",1 Lacs
231,M . Ashok Kumar,6788,Samajwadi Forward Bloc,0,Graduate Professional,37,"3,42,000",3 Lacs,0,
232,M . D . Nazeer Uddin Quadri,6783,Akhil Bharatiya Muslim League (Secular),0,10th Pass,43,"50,90,000",50 Lacs,0,
233,M. Malla Reddy,6662,IND,0,5th Pass,50,"46,00,000",46 Lacs,"22,90,000",22 Lacs
234,Macharla Prathap,6653,IND,0,10th Pass,33,"14,46,797",14 Lacs,"2,70,000",2 Lacs
235,Madavaneni Raghunandan Rao,6764,BJP,0,Graduate Professional,54,"12,64,88,701",12 Crore,"69,00,000",69 Lacs
236,Madhava Reddy Gari Hanmantha Reddy,6766,SHS,0,12th Pass,38,"10,45,000",10 Lacs,"3,50,000",3 Lacs
237,Madhu Butti,6655,IND,0,Graduate Professional,37,"4,93,142",4 Lacs,"99,000",99 Thou
238,Madhu Sapavath,6853,IND,0,Illiterate,26,"30,000",30 Thou,0,
239,Madhusudan Alias Madhu Goud Yaskhi,5072,INC,1,Post Graduate,61,0,0,"35,09,798",35 Lacs
240,Maggidi Katipally Rajesh,6656,IND,0,10th Pass,29,"15,68,000",15 Lacs,"1,00,000",1 Lacs
241,Maggidi Narsaiah Mamidi,6657,IND,0,5th Pass,54,"78,75,000",78 Lacs,"16,00,000",16 Lacs
242,Mahender Nalimela,6658,IND,0,12th Pass,25,"5,10,000",5 Lacs,"1,00,000",1 Lacs
243,Mahender Reddy Bongunoori,6775,Janasena Party,0,10th Pass,43,"13,97,14,395",13 Crore,"4,07,43,724",4 Crore
