serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
346,Richa Purshottam Choubey (Hariom),11999,Sapaks Party,0,12th Pass,49,"19,60,000",19 Lacs,0,
347,Riti Pathak,10272,BJP,0,Post Graduate,41,"5,15,41,791",5 Crore,"5,05,922",5 Lacs
348,Rodmal Nagar,12253,BJP,0,Graduate,58,"4,01,98,295",4 Crore,"39,21,362",39 Lacs
349,Roop Singh,12597,Bharat Prabhat Party,0,10th Pass,41,0,0,0,
350,Rukum Shah,14073,All India Ulama Congress,2,Literate,44,"25,000",25 Thou,0,
351,Ruplal Kutrahe (Samaj Sevak ) Lodhi,10649,IND,1,10th Pass,39,"2,28,405",2 Lacs,"50,000",50 Thou
352,Sadhvi Pragya Singh Thakur,12607,BJP,1,Post Graduate,49,"4,44,224",4 Lacs,0,
353,Saeed Ahmed Shabrarti Ahmed,13096,IND,0,5th Pass,65,"73,56,193",73 Lacs,0,
354,Saligram Makodiya,11589,IND,0,Post Graduate,60,"52,23,740",52 Lacs,"4,00,000",4 Lacs
355,Sanat Kumar,12038,IND,0,10th Pass,42,"3,85,783",3 Lacs,0,
356,Sandeep Kumar Tiwari,12051,IND,0,10th Pass,45,"21,72,000",21 Lacs,0,
357,Sandhya Ray,12227,BJP,0,Post Graduate,45,"5,11,08,660",5 Crore,"1,34,00,000",1 Crore
358,Sanjay Kumar Namdeo,10268,CPI,4,10th Pass,42,"11,76,000",11 Lacs,0,
359,Sanjeev Kumar Pandram,10326,Hindusthan Nirman Dal,0,Graduate,51,0,0,"2,50,000",2 Lacs
360,Sanjey Gupta,12631,Sapaks Party,0,Graduate,46,"37,04,373",37 Lacs,"7,20,000",7 Lacs
361,Sanju Sharma,12251,SHS,0,10th Pass,34,"7,78,405",7 Lacs,0,
362,Sant Kumar Sharma,12026,Samagra Utthan Party,0,Post Graduate,40,"2,95,474",2 Lacs,"70,000",70 Thou
363,Santosh Rao,12625,IND,0,5th Pass,40,"2,45,000",2 Lacs,0,
364,Santosh Yadav,12657,Pragatishil Samajwadi Party (Lohia),0,Literate,46,"7,54,000",7 Lacs,0,
365,Satish Parmar,13091,BSP,0,12th Pass,45,"58,13,661",58 Lacs,"10,50,000",10 Lacs
366,Sevanti Dinesh Bhabar,13929,IND,0,Graduate,41,"17,48,861",17 Lacs,"3,00,000",3 Lacs
367,Shahnaz B Ansari,10309,Smart Indians Party,0,5th Pass,42,"40,000",40 Thou,0,
368,Shailendra,12008,IND,0,Graduate,27,"1,13,546",1 Lacs,0,
369,Shailendra Diwan Chandarbhan Singh,11217,INC,0,Graduate,39,0,0,"13,99,664",13 Lacs
370,Shailendra Kumar,12664,IND,0,12th Pass,40,"67,16,000",67 Lacs,0,
371,Shailendra Rameshchandra Patel,12259,INC,0,Post Graduate,43,"13,05,23,815",13 Crore,"16,77,179",16 Lacs
372,Shailendra Sharma,14136,IND,0,Post Graduate,40,"9,43,999",9 Lacs,"18,00,000",18 Lacs
373,Shakuntala,12039,Sapaks Party,0,Post Graduate,53,"3,74,57,633",3 Crore,0,
374,Shankar Lalwani,13111,BJP,2,Graduate Professional,57,"5,90,38,508",5 Crore,"21,06,382",21 Lacs
375,Shantilal S/O Aasharam Sahite,13928,IND,0,12th Pass,42,"2,60,324",2 Lacs,"1,00,000",1 Lacs
376,Sharada Parsad Patel,11585,Pichhara Samaj Party United,0,8th Pass,71,"78,70,000",78 Lacs,"2,00,000",2 Lacs
377,Shashank Singh Baghel,11610,Sapaks Party,0,Graduate,26,"2,33,985",2 Lacs,0,
378,Shatish Kumar,10335,Bhartiya Lokmat Rashtrwadi Party,0,Graduate Professional,39,"21,17,000",21 Lacs,0,
379,Shivkumar Mishra,11222,Samagra Utthan Party,0,12th Pass,50,0,0,0,
