serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
293,Naresh Prasad,5627,IND,1,Literate,46,"1,40,000",1 Lacs,0,
294,Naresh Ram,12118,SUCI(C),0,12th Pass,43,"28,300",28 Thou,0,
295,Naresh Yadav,5172,BSP,5,Literate,34,"1,26,74,177",1 Crore,"8,24,000",8 Lacs
296,Naresh Yadav,6001,IND,0,Literate,35,"21,47,807",21 Lacs,"90,000",90 Thou
297,Naveen Kumar Singh,9195,Bihar Lok Nirman Dal,0,Literate,39,"49,41,000",49 Lacs,0,
298,Navin Kumar,10207,BSP,0,Post Graduate,41,"76,96,000",76 Lacs,"9,80,000",9 Lacs
299,Neelam Kumari,12772,IND,1,Graduate Professional,53,0,0,"15,00,000",15 Lacs
300,Neelu Devi,5990,Bhartiya Dalit Party,0,8th Pass,43,"37,52,672",37 Lacs,0,
301,Nilam Devi,10150,INC,2,Literate,48,"62,16,59,689",62 Crore,"21,46,10,632",21 Crore
302,Nimesh Shukla,14177,IND,0,Post Graduate,41,"14,85,500",14 Lacs,"4,32,437",4 Lacs
303,Nirmala Devi,13077,Pragatishil Samajwadi Party (Lohia),0,Literate,36,"1,72,000",1 Lacs,0,
304,Nita Devi,14157,IND,0,12th Pass,36,"7,64,54,511",7 Crore,"4,88,000",4 Lacs
305,Nityanand Rai,10202,BJP,3,Graduate,53,"18,70,07,570",18 Crore,"3,57,561",3 Lacs
306,Nityanand Singh,13636,BSP,3,12th Pass,38,"3,69,29,975",3 Crore,"6,98,096",6 Lacs
307,Nivedita Singh,5628,IND,1,Graduate,44,"7,14,10,600",7 Crore,0,
308,Nurullah,5603,IND,0,Graduate,43,"1,12,89,304",1 Crore,0,
309,Om Prakash Manjhi,12075,Jai Prakash Janata Dal,1,Literate,37,0,0,0,
310,Om Prakash Poddar,9151,IND,3,Post Graduate,45,"31,43,831",31 Lacs,0,
311,Panchanand Singh,10162,Jago Hindustan Party,0,Graduate,51,"66,500",66 Thou,0,
312,Pankaj Kumar,11328,Aap Aur Hum Party,0,12th Pass,41,"34,05,000",34 Lacs,"24,50,000",24 Lacs
313,Pankaj Kumar,12853,IND,1,Graduate Professional,46,"2,50,76,000",2 Crore,"2,00,000",2 Lacs
314,Pankaj Kumar Das,5630,SUCI(C),0,12th Pass,35,"8,24,836",8 Lacs,0,
315,Pankaj Kumar Singh,9775,IND,0,10th Pass,44,"6,32,125",6 Lacs,0,
316,Parasnath Pandey,12820,Janvadi Party(Socialist),1,Graduate,59,"23,00,000",23 Lacs,0,
317,Parasnath Ram,12095,Janata Party,1,12th Pass,42,"5,000",5 Thou,0,
318,Parmanand Gond,12797,Swatantra Samaj Party,0,12th Pass,49,"36,44,500",36 Lacs,0,
319,Parmanand Singh,9519,IND,3,10th Pass,54,0,0,0,
320,Pashupati Kumar Paras,11322,LJP,1,Graduate Professional,66,"6,28,34,200",6 Crore,"67,44,375",67 Lacs
321,Pawan Kumar Pandey,14144,Bhartiya Lokmat Rashtrwadi Party,0,12th Pass,35,"30,40,470",30 Lacs,"90,000",90 Thou
322,Pawan Thakur,5992,IND,0,10th Pass,42,"33,26,284",33 Lacs,0,
323,Phesal Ansari,5991,Bharatiya Momin Front,0,8th Pass,26,"22,45,200",22 Lacs,0,
324,Pinku Paswan,10189,Yuva Krantikari Party,0,Graduate,30,"2,07,667",2 Lacs,0,
325,Prabhakar Jayaswal,12091,CPI,1,12th Pass,55,"29,02,51,911",29 Crore,"3,67,711",3 Lacs
326,Prabhash Chandra Sharma,13051,Vanchit Samaj Party,0,Graduate,42,"49,33,48,961",49 Crore,0,
327,Prabhat Kumar,11656,IND,0,Post Graduate,49,"20,67,500",20 Lacs,0,
328,Prabhat Prasad,9152,Suheldev Bhartiya Samaj Party,0,12th Pass,65,"31,54,218",31 Lacs,0,
329,Prabhu Narayan,12099,SHS,4,12th Pass,47,0,0,"4,00,000",4 Lacs
330,Pradeep Chouhan,13659,Bihar Lok Nirman Dal,1,12th Pass,42,"1,45,24,704",1 Crore,"7,00,000",7 Lacs
331,Pradeep Kumar Singh,5953,SHS,0,10th Pass,36,"1,74,500",1 Lacs,0,
332,Pradeep Kumar Singh,11649,SHS,0,Graduate Professional,43,"59,61,760",59 Lacs,0,
333,Pradeep Kumar Singh,9516,BJP,3,10th Pass,52,"50,10,577",50 Lacs,"11,59,200",11 Lacs
334,Pradip Singh,12092,IND,2,Literate,39,"1,10,69,100",1 Crore,"6,50,000",6 Lacs
335,Prakash Chandra,5612,Public Mission Party,0,Graduate,53,"81,91,437",81 Lacs,"38,40,400",38 Lacs
336,Prakash Chandra Goyal,13860,Peoples Party of India (Democratic),0,Doctorate,36,"10,20,973",10 Lacs,0,
337,Pramod Kumar Nirala,9196,Vanchit Samaj Party,3,Graduate,48,"2,52,35,000",2 Crore,0,
338,Pramod Singh Weldone,5987,IND,4,10th Pass,50,"3,13,15,852",3 Crore,"81,524",81 Thou
339,Pranav Kumar,10213,IND,0,12th Pass,42,0,0,0,
340,Pranay Kumar,10149,IND,0,Graduate,35,"69,55,253",69 Lacs,0,
341,Pravin Kumar Jha,5988,IND,0,12th Pass,46,"73,41,490",73 Lacs,0,
342,Prithvi Nath Prasad,13861,Asli Deshi Party,0,Graduate,51,"64,99,000",64 Lacs,0,
343,Priyadarshi Dinkar,9520,IND,0,Graduate,31,"3,21,000",3 Lacs,0,
344,Prof. K.B. Prasad,5618,IND,0,Post Graduate,69,"1,68,12,828",1 Crore,"17,00,000",17 Lacs
345,Punam Devi,13858,IND,0,Graduate,39,"1,71,12,000",1 Crore,"9,00,000",9 Lacs
346,Punit Kumar,14158,IND,2,12th Pass,30,"80,89,711",80 Lacs,"19,25,500",19 Lacs
347,Pupul Kumar Sharma,14193,IND,0,8th Pass,29,"1,44,15,000",1 Crore,"68,000",68 Thou
348,Purushotam Sharma,14145,National Jagaran Party,0,10th Pass,47,"2,12,48,052",2 Crore,0,
349,Putul Kumari,5989,IND,3,Post Graduate,61,0,0,"17,00,000",17 Lacs
350,R. K. Singh,13063,BJP,1,Graduate Professional,66,"7,99,71,720",7 Crore,0,
351,Radha Mohan Singh,12089,BJP,1,Graduate,69,"3,37,91,375",3 Crore,"11,46,627",11 Lacs
352,Raghunath Kumar,11348,AAP,1,Graduate Professional,47,"4,85,60,000",4 Crore,"87,00,000",87 Lacs
353,Raghuni Ram Shastri,13876,IND,0,Graduate,70,"3,49,588",3 Lacs,0,
