serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
60,Jitendra Raut,13309,Akhil Bharatiya Manavata Paksha,1,Graduate,40,"6,49,510",6 Lacs,"14,406",14 Thou
61,Jugal Kishor,13366,IND,0,Graduate,47,"76,76,788",76 Lacs,"3,14,000",3 Lacs
62,K Roshan Kumar,13413,Pyramid Party of India,0,Others,53,"32,17,000",32 Lacs,0,
63,K Sreekrishna,13316,Jammu & Kashmir National Panthers Party,0,Post Graduate,49,"59,282",59 Thou,0,
64,Kamal Kishor,13355,Peoples Party of India (Democratic),0,Graduate,67,"85,50,331",85 Lacs,0,
65,Kripashankar C Pandey,13320,IND,0,12th Pass,61,"6,94,16,833",6 Crore,"35,70,000",35 Lacs
66,Krishan Singh Chauhan,12278,Peoples Party of India (Democratic),0,Doctorate,56,"2,64,15,314",2 Crore,"7,50,832",7 Lacs
67,Kulwinder Singh Mehta,12336,Pyramid Party of India,0,12th Pass,54,"17,62,088",17 Lacs,0,
68,Lal Ji,13314,Akhand Rashtrawadi Party,1,Graduate,49,"64,94,000",64 Lacs,"1,70,000",1 Lacs
69,M. Mishra,13401,IND,0,Graduate Professional,41,0,0,0,
70,Madan Lal Balmiki,12316,Rashtriya Samrasta Party,1,10th Pass,66,"26,37,085",26 Lacs,0,
71,Mahabal Mishra,12718,INC,3,12th Pass,65,"45,07,21,618",45 Crore,"28,14,393",28 Lacs
72,Mahender Paswan,12307,Mazdoor Kirayedar Vikas Party,0,8th Pass,41,"18,57,000",18 Lacs,0,
73,Mahfooj Khan,13391,IND,0,8th Pass,42,"2,59,000",2 Lacs,"1,00,000",1 Lacs
74,Manager Chaurasiya,12303,SUCI(C),0,12th Pass,51,"9,03,000",9 Lacs,0,
75,Manjeet Singh,13373,Rashtra Nirman Party,0,Graduate Professional,31,"62,40,443",62 Lacs,"2,30,501",2 Lacs
76,Manju Chhibber,12289,RPI(A),0,Graduate,64,"3,18,68,000",3 Crore,0,
77,Manmohan Singh,13395,Rashtra Nirman Party,0,Post Graduate,58,"3,51,66,395",3 Crore,"12,015",12 Thou
78,Manoj Kumar Gupta,13377,IND,0,Post Graduate,42,"35,324",35 Thou,0,
79,Manoj Tiwari,12699,BJP,3,Post Graduate,48,0,0,"1,36,18,755",1 Crore
80,Mathews,13411,Bhartiya Insan Party,0,Graduate,63,"5,92,000",5 Lacs,0,
81,Md Akram,13389,IND,0,Graduate Professional,34,"3,30,057",3 Lacs,0,
82,Meenakashi Lekhi,12704,BJP,0,Graduate Professional,51,"36,14,41,689",36 Crore,"79,38,378",79 Lacs
83,Mohan Kumar Gupta,12329,Mazdoor Kirayedar Vikas Party,0,Graduate,31,"19,48,254",19 Lacs,0,
84,Mohan Lal Sharma,13372,Satya Bahumat Party,0,Post Graduate,72,"2,04,28,012",2 Crore,0,
85,Mohd Hasan,12311,RPI(A),0,12th Pass,44,"3,72,000",3 Lacs,0,
86,Mohd Irfan,13387,Bharat Prabhat Party,0,Graduate Professional,41,"1,24,63,190",1 Crore,0,
87,Mohd. Irfan Javed Qureshi,13354,Ekta Samaj Party,2,Graduate,57,"3,50,000",3 Lacs,0,
88,Mukesh,12306,Aapki Apni Party (Peoples),1,10th Pass,53,"1,72,85,880",1 Crore,"6,00,000",6 Lacs
89,Mukesh Jadly,13371,Uttarakhand Pragatisheel Party,0,Post Graduate,48,0,0,"9,50,000",9 Lacs
90,Munna Lal,12273,IND,0,10th Pass,37,"2,74,389",2 Lacs,0,
91,Naise Khan,13417,IND,0,5th Pass,60,"2,60,500",2 Lacs,0,
92,Navanit,13410,National Youth Party,2,Post Graduate,40,"94,043",94 Thou,"11,50,000",11 Lacs
93,Naveen,12715,IND,0,12th Pass,33,"43,75,000",43 Lacs,0,
94,Naveen Kumar,12294,Rashtriya Samrasta Party,0,Graduate Professional,44,"76,06,632",76 Lacs,"86,034",86 Thou
95,Navin Chandra Das,13399,IND,0,Graduate,69,"80,44,000",80 Lacs,"12,80,000",12 Lacs
96,Neeru Mongia,13370,PRISM Party,0,Graduate Professional,40,"2,13,70,288",2 Crore,"19,80,000",19 Lacs
97,Nilanjan Banerjee,13310,Bharat Lok Sewak Party,0,12th Pass,41,"60,000",60 Thou,0,
98,Pankaj Gupta,13365,IND,0,10th Pass,57,"25,97,720",25 Lacs,0,
99,Pankaj Kumar Gupta,12698,AAP,0,Graduate Professional,52,0,0,"7,37,055",7 Lacs
100,Parvesh Sahib Singh,12717,BJP,0,Post Graduate,41,"15,51,95,014",15 Crore,"4,00,97,329",4 Crore
101,Poonam,12339,Peoples Party of India (Democratic),0,Graduate,48,"41,89,796",41 Lacs,"12,71,875",12 Lacs
