Unnamed: 0,Sno,candidate_name,age,constituency,party,education_details,education,criminal_cases,total_assets,assets_description,liabilities_description,total_liabilities,url,constituency_id,candidate_id,Election_Type,party_id,en,hi
1199,1245,Vijesh Ray,46,TARAIYA,IND,Inter from Bahadur College in 1995,12th Pass,0,100000,1 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=245,202,245,General,1,,done
1200,68,Amit Kumar Singh,39,TARAIYA,AAP,"B.A. from Jaiprakash University Chapra Saran PNS College, D.A.D.E.L.E.D- NIOS",Graduate,0,1532150,15 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=98,202,98,General,15,done,done
1201,955,Sanjay Kumar,40,TARAIYA,Peoples Party of India (Democratic),Literate,Literate,0,5161765,51 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=97,202,97,General,27,done,done
1202,476,Lalu Prasad Yadav,45,TARAIYA,IND,Inter from Pandit Jawaharlal Nehru College 1997,12th Pass,0,784000,7 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=1169,202,1169,General,1,done,done
1203,848,Ram Viswas Rai,53,TARAIYA,Bhartiya Sarthak Party,P.G. from J.P.U. Chhapra in 2017,Post Graduate,0,25000,25 Thou,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=1171,202,1171,General,56,done,done
1204,1029,Shailendra Pratap,54,TARAIYA,RJD,B.Sc. (honors) from Magadh University Bodhgaya in 1991,Graduate,0,39044383,3 Crore,42 Lacs,4257294.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=334,202,334,General,11,done,done
1205,187,Bhagwan Prasad Gupta,65,TARAIYA,Vanchit Adhikar Party,Non Matric from Mandoland High School,8th Pass,0,14650000,1 Crore,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=461,202,461,General,116,done,done
1206,393,Janak Singh,64,TARAIYA,BJP,Graduation from Jagdam College Chhapra Saran Bihar University Muzaffarpur 1980,Graduate,5,87221032,8 Crore,34 Lacs,3421378.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=1173,202,1173,General,0,done,done
1207,216,Braj Bihari Singh,56,TARAIYA,BSP,"LLB from Ganga Singh Law College Chhapra Saran , Bihar University Muzaffarpur",Graduate Professional,0,30592295,3 Crore,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=460,202,460,General,5,done,done
1208,128,Ashish Anand,25,TARAPUR,BSP,"I.A. in 2018 from K.M. Vesari,  Asarganj, B.S.E.B. Patna",12th Pass,1,5311038,53 Lacs,22 Thou,22000.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=463,66,463,General,5,done,done
1209,949,Samrat Choudhary,56,TARAPUR,BJP,Doctor of Litt. (honorary) PFC Kamraj University,Doctorate,2,113482854,11 Crore,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=335,66,335,General,0,done,done
1210,807,Rakesh Kumar,38,TARAPUR,IND,Intermediate from Vishwanath Singh University Munger in 2004,12th Pass,0,7368000,73 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=1162,66,1162,General,1,done,done
1211,300,Dipak Kumar,38,TARAPUR,IND,Matric from High School Kathua in 2006,10th Pass,0,13126000,1 Crore,3 Lacs,357000.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=1167,66,1167,General,1,done,done
1212,112,Arun Kumar,63,TARAPUR,RJD,"M.A. in 1985 from Bhagalpur University, Bhagalpur, LLB in 1988 from T.N.B. College Bhagalpur",Post Graduate,0,831882521,83 Crore,2 Crore,20000000.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=1166,66,1166,General,11,done,done
1213,749,Rahul Kumar Singh,37,TARAPUR,AAP,M.A. from IGNOU New Delhi,Post Graduate,0,4022000,40 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=1163,66,1163,General,15,done,done
1214,189,Bharat Mandal,59,TARAPUR,SUCI(C),"Matric, Devghara in 1985",10th Pass,0,950000,9 Lacs,1 Lacs,100000.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=247,66,247,General,25,done,done
1215,1126,Sudhir Singh,65,TARAPUR,IND,"Matric from Jagannath High School, Tentiya Bambar in 1984",10th Pass,2,2052068,20 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=464,66,464,General,1,done,done
1216,1039,Shambhu Shankar,39,TARAPUR,IND,Literate,Literate,0,5608000,56 Lacs,63 Lacs,6310700.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=99,66,99,General,1,done,done
1217,224,Bulbul Kumari,32,TARAPUR,IND,B.A. Honours from Tilak Manjhi University Bhagalpur in 2016,Graduate Professional,0,1885891,18 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=1165,66,1165,General,1,done,done
1218,726,Priyanka Chauhan,25,TARAPUR,IND,"M.A. from Lovely Professional University, Punjab Online In  2025, B.Ed from Shri Baburam College, Mainpuri, Dr. Bhimrao Ambedkar University Agra In 2024",Post Graduate,0,3244375,32 Lacs,22 Lacs,2240000.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=246,66,246,General,1,done,done
1219,1133,Sukhdev Yadav,79,TARAPUR,Janshakti Janta Dal,"Matric from Gandhi Memorial High School Muzaffarganj Kharagpur, Munger",10th Pass,0,10207216,1 Crore,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=1164,66,1164,General,6,done,done
1220,999,Santosh Kumar Singh,45,TARAPUR,Jan Suraaj Party,M.D. Anaesthesiology Aryabhatta College University Patna 2020,Post Graduate,1,12259294,1 Crore,50 Lacs,5068813.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=1168,66,1168,General,4,done,done
1221,804,Raju Rajvanshi,47,TARARI,Suheldev Bharatiya Samaj Party,Non-Matric  From H.S. Masaura Patna In 1997,8th Pass,0,1175000,11 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=1157,157,1157,General,55,done,done
1222,856,Ramesh Chandra Rabi,40,TARARI,IND,"Graduation, H.D. Jain College, Veer Kunwar Singh University Ara",Graduate,0,405655,4 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=338,157,338,General,1,done,done
1223,787,Rajesh Singh,37,TARARI,Rashtriya Jansambhavna Party,Non Metric,8th Pass,0,20235000,2 Crore,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=250,157,250,General,8,done,done
1224,239,Chandra Shekhar Singh,70,TARARI,Jan Suraaj Party,M.A.,Post Graduate,0,2731000,27 Lacs,8 Lacs,800000.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=677,157,677,General,4,done,done
1225,422,Karmoo Sah Keshari,57,TARARI,IND,"Graduation, Magadh University, Gaya",Graduate,2,2920042,29 Lacs,49 Thou,49000.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=248,157,248,General,1,done,done
1226,482,Madan Singh S/O-Kumi Singh,54,TARARI,CPI(ML)(L),"Non Metric Year 1982, Shree Krichna High School Dhanchhuhau Bihar",8th Pass,5,2127712,21 Lacs,50 Thou,50000.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=249,157,249,General,2,done,done
1227,1102,Sikandar Kumar,43,TARARI,Janshakti Janta Dal,"B.A. Graduate Economics, Magadh University Bodh Gaya In 2002",Graduate,3,26900000,2 Crore,83 Lacs,8300000.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=1159,157,1159,General,6,done,done
1228,481,Madan Singh S/O Barbhanga Singh,55,TARARI,IND,5th (Literate),5th Pass,0,45000,45 Thou,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=1154,157,1154,General,1,done,done
1229,797,Rajnish Kumar,25,TARARI,IND,Intermediate Pass From High School Sedahan Bhojpur In 2019,12th Pass,0,2081000,20 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=1160,157,1160,General,1,done,done
1230,139,Ashok Kumar Singh,53,TARARI,Socialist Party (India),"Graduate B.A. Pass From Delhi University, Sri Venkateswara College, New Delhi In 1993",Graduate,0,3605000,36 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=1155,157,1155,General,21,done,done
1231,1275,Vishal Prashant,35,TARARI,BJP,"Intermediate from Central Board of Secondery Education, Delhi Year-2009",12th Pass,0,65413336,6 Crore,37 Lacs,3719128.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=1158,157,1158,General,0,done,done
1232,998,Santosh Kumar Singh,43,TARARI,BSP,LLB from Maharaj Law College Arrah In 2013,Graduate Professional,0,2290000,22 Lacs,1 Lacs,170000.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=1156,157,1156,General,5,done,done
