Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities,Candidate∇ Link
643,Syed Muneeb,SEELAM PUR,IND,0,Graduate,"Rs 23,75,000~ 23 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=799
644,Tamana,SHAKUR BASTI,Yuva Bharat Rashtraseva Party,0,12th Pass,"Rs 65,53,731~ 65 Lacs+","Rs 2,90,016~ 2 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=597
645,Tanya Singh,KALKAJI,Bhartiya Rashtrawadi Party,2,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=502
646,Tarun Kumar,TIMARPUR,Republican Sena,0,10th Pass,"Rs 2,32,45,000~ 2 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=577
647,Tarun Kumar,NAJAFGARH,AAP,1,10th Pass,"Rs 2,65,46,659~ 2 Crore+","Rs 1,03,82,928~ 1 Crore+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=306
648,Tarun Kumar Sharma,JANAKPURI,IND,0,Graduate Professional,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=782
649,Tarvinder Singh Marwah,JANGPURA,BJP,1,12th Pass,"Rs 49,67,68,001~ 49 Crore+","Rs 13,65,43,502~ 13 Crore+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=402
650,Tej Ram,MATIA MAHAL,BSP,0,5th Pass,"Rs 31,16,000~ 31 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=742
651,Tikraj Singh,GANDHI NAGAR,BSP,0,10th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=774
652,Tilak Ram Gupta,TRI NAGAR,BJP,0,10th Pass,"Rs 2,35,65,559~ 2 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=213
653,Umang,RAJINDER NAGAR,IND,1,10th Pass,"Rs 34,000~ 34 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=791
654,Umang Bajaj,RAJINDER NAGAR,BJP,0,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=653
655,Umesh Chauhan,VIKASPURI,Aazad Samaj Party (Kanshi Ram),0,8th Pass,"Rs 1,10,032~ 1 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=19
656,Umesh Rathor,SADAR BAZAR,Atulya Bharat Party,0,10th Pass,"Rs 1,40,980~ 1 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=618
657,Veer Singh Dhingan,SEEMA PURI,AAP,0,10th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=608
658,Vicky,TRILOKPURI,Aazad Samaj Party (Kanshi Ram),0,Post Graduate,"Rs 7,30,292~ 7 Lacs+","Rs 3,28,497~ 3 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=47
659,Vidhayak Virendra Pradhan Gurjar,KRISHNA NAGAR,Samrat Mihir Bhoj Samaj Party,0,Illiterate,"Rs 45,000~ 45 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=30
660,Vidya Patti,RITHALA,IND,0,10th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=221
