Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities,Candidate∇ Link
61,Arun,AMBEDKAR NAGAR,Haryana Jansena Party,0,10th Pass,"Rs 26,000~ 26 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=432
62,Arun Kumar,BADLI,IND,0,10th Pass,"Rs 11,30,870~ 11 Lacs+","Rs 3,69,765~ 3 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=452
63,Arun Kumar Sharma,NEW DELHI,Delhi Janta Party,1,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=681
64,Aruna,NERELA,INC,0,Post Graduate,"Rs 2,27,72,639~ 2 Crore+","Rs 18,93,711~ 18 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=313
65,Arvind Kejriwal,NEW DELHI,AAP,15,Graduate Professional,"Rs 4,24,36,504~ 4 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=180
66,Arvind Kumar,GOKALPUR,Aazad Samaj Party (Kanshi Ram),0,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=193
67,Arvind Kumar Pandey,MATIALA,Rashtriya Janshakti Party (Secular),0,8th Pass,"Rs 26,20,000~ 26 Lacs+","Rs 42,000~ 42 Thou+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=150
68,Arvinder Singh Lovely,GANDHI NAGAR,BJP,0,Graduate,"Rs 11,65,02,287~ 11 Crore+","Rs 97,00,000~ 97 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=219
69,Asha Chaudhary,MUSTAFABAD,Bharatiya Sampuran Krantikari Party,0,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=711
70,Asha Kamle,KONDLI,Republican Party of India (Athawale),0,10th Pass,"Rs 47,289~ 47 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=527
71,Asha Rani,SADAR BAZAR,SUCI(C),0,12th Pass,"Rs 10,20,200~ 10 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=115
72,Ashish Kumar,SEEMA PURI,IND,0,Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=802
73,Ashish Sood,JANAKPURI,BJP,1,Graduate,"Rs 9,22,02,367~ 9 Crore+","Rs 5,92,73,724~ 5 Crore+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=50
74,Ashish Sood,JANAKPURI,IND,0,10th Pass,"Rs 22,61,142~ 22 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=783
75,Ashok Agarwal,KARAWAL NAGAR,CPI(M),0,Graduate Professional,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=518
76,Ashok Agyani,DELHI CANTT,IND,0,12th Pass,"Rs 15,07,644~ 15 Lacs+","Rs 89,329~ 89 Thou+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=25
77,Ashok Bambani,JANGPURA,IND,0,12th Pass,"Rs 4,83,43,500~ 4 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=756
78,Ashok Goel,MODEL TOWN,BJP,0,Graduate Professional,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=177
79,Ashok Jain,RITHALA,Yuva Bharat Rashtraseva Party,0,8th Pass,"Rs 30,019~ 30 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=640
80,Ashok Jindal,DWARKA,IND,0,12th Pass,"Rs 70,50,763~ 70 Lacs+","Rs 15,50,000~ 15 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=395
81,Ashok Kumar,ROHTAS NAGAR,BSP,0,Graduate Professional,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=631
82,Ashok Kumar,HARI NAGAR,IND,0,10th Pass,"Rs 25,000~ 25 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=495
83,Ashok Kumar,PATEL NAGAR,Aazad Samaj Party (Kanshi Ram),0,8th Pass,"Rs 1,39,801~ 1 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=664
84,Ashok Kumar,MUSTAFABAD,BSP,0,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=299
85,Ashok Kumar,AMBEDKAR NAGAR,IND,0,10th Pass,"Rs 6,586~ 6 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=435
86,Ashok Kumar Gautam,TILAK NAGAR,BSP,0,8th Pass,"Rs 2,23,150~ 2 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=375
87,Ashok Surana,SHAHDARA,IND,0,Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=367
88,Asim Ahmed Khan,MATIA MAHAL,INC,0,Graduate,"Rs 24,60,27,514~ 24 Crore+","Rs 1,98,97,137~ 1 Crore+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=745
89,Asmita,DEOLI,BSP,0,Post Graduate,"Rs 1,15,500~ 1 Lacs+","Rs 2,00,000~ 2 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=255
90,Atishi,KALKAJI,AAP,4,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=28
91,Atul Kumar,GOKALPUR,Swaraj Bhartiya Nyay Party,0,Post Graduate,"Rs 30,55,251~ 30 Lacs+","Rs 2,30,00,000~ 2 Crore+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=194
92,Avadh Ojha,PATPARGANJ,AAP,0,Graduate Professional,"Rs 8,59,07,918~ 8 Crore+","Rs 1,01,70,534~ 1 Crore+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=663
93,Avinash Gupta,MOTI NAGAR,BSP,0,8th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=97
94,Awdhesh Kumar Jha,MODEL TOWN,Right to Recall Party,0,10th Pass,"Rs 1,87,000~ 1 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=725
95,Ayasha Khatoon,RITHALA,Peoples Party of India (Democratic),0,Graduate,"Rs 21,15,698~ 21 Lacs+","Rs 2,36,280~ 2 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=642
96,Ayush Gupta,ADARSH NAGAR,IND,0,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=431
97,B B Tyagi,LAXMI NAGAR,AAP,2,Graduate Professional,"Rs 7,33,24,194~ 7 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=202
98,Babita,BAWANA,Asankhya Samaj Party,0,Illiterate,"Rs 9,83,000~ 9 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=18
99,Babita,GHONDA,Yuva Bharat Rashtraseva Party,0,8th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=260
100,Babu Lal,SULTAN PUR MAJRA,Bharatiya Sampuran Krantikari Party,0,5th Pass,"Rs 1,56,69,500~ 1 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=373
101,Babu Lal,BALLIMARAN,IND,0,8th Pass,"Rs 85,24,808~ 85 Lacs+","Rs 12,81,097~ 12 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=458
102,Bachan Ram,DEOLI,Matrubhoomi Sewa Party,0,10th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=257
103,Bajrang Shukla,KIRARI,BJP,1,Graduate,"Rs 1,64,34,388~ 1 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=90
104,Balyogi Baba Balaknath,MEHRAULI,IND,0,12th Pass,"Rs 39,05,397~ 39 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=295
105,Bandana Kumari,SHALIMAR BAGH,AAP,1,Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=370
106,Bhagwan Dass,MATIA MAHAL,IND,0,Illiterate,"Rs 17,000~ 17 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=739
107,Bharat Singh,NAJAFGARH,Peoples Party of India (Democratic),0,5th Pass,"Rs 58,70,385~ 58 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=709
108,Bhavish Dhankar,MALVIYA NAGAR,Bhartiya Rashtriya Jansatta,1,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=750
109,Bhawana,NEW DELHI,IND,0,Graduate,"Rs 2,89,124~ 2 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=678
110,Bhawana Bothra,VISHWAS NAGAR,Veer Janshakti Party,0,Graduate,"Rs 17,50,000~ 17 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=552
111,Bhisham Sharma,GHONDA,INC,0,Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=762
112,Bhupender Yadav,BABARPUR,Janhit Dal,0,10th Pass,"Rs 13,89,500~ 13 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=441
113,Bhuvan Tanwar,DELHI CANTT,BJP,0,Post Graduate,"Rs 15,30,51,818~ 15 Crore+","Rs 83,00,000~ 83 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=409
114,Bijender Kumar,TIMARPUR,Jan Samuh Party,0,Literate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=572
115,Bijender Prajapati,JANGPURA,Haryana Jansena Party,0,Graduate Professional,"Rs 16,38,018~ 16 Lacs+","Rs 5,97,589~ 5 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=403
116,Bindu Kumar,HARI NAGAR,BSP,0,12th Pass,"Rs 1,11,000~ 1 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=497
117,Bir Sain,GOKALPUR,Bharatiya Sarvodaya Kranti Party,0,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=489
118,Brahm Singh Tanwar,CHHATARPUR,AAP,1,8th Pass,"Rs 24,29,85,718~ 24 Crore+","Rs 1,08,76,717~ 1 Crore+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=408
119,Brij Lal,CHHATARPUR,BSP,0,Graduate Professional,"Rs 70,69,267~ 70 Lacs+","Rs 7,19,633~ 7 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=478
120,Brijpal,BADARPUR,Bharatiya Sampuran Krantikari Party,0,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=450
121,Budiya,NERELA,IND,0,Illiterate,"Rs 52,80,500~ 52 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=690
122,Ca Soharsh Gulgulia Jain,SADAR BAZAR,Jantantrik Samta Party,0,Graduate Professional,"Rs 1,21,03,721~ 1 Crore+","Rs 25,28,684~ 25 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=622
123,Chaman Lal,TUGHLAKABAD,Peoples Party of India (Democratic),0,5th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=563
124,Chaman Lal Verma,JANAKPURI,Aam Janshakti Party,0,Post Graduate,"Rs 1,95,83,000~ 1 Crore+","Rs 25,00,000~ 25 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=268
125,Chandan Kumar Choudhary,SANGAM VIHAR,BJP,5,Graduate,"Rs 3,94,73,899~ 3 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=613
126,Chander Pal,MODEL TOWN,IND,0,5th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=178
127,Charan Singh Maliyan,GOKALPUR,Right to Recall Party,0,10th Pass,"Rs 70,000~ 70 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=13
128,Charan Singh Maliyan,SEEMA PURI,Right to Recall Party,0,10th Pass,"Rs 70,000~ 70 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=39
129,Charanjeet Kaur,MALVIYA NAGAR,BSP,0,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=751
130,Chaudhary Zubair Ahmad,SEELAM PUR,AAP,0,Graduate,"Rs 3,69,25,933~ 3 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=24
131,Chunni Lal,MODEL TOWN,BSP,0,8th Pass,"Rs 6,62,000~ 6 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=297
132,Col Devinder Kumar Sehrawat,BIJWASAN,INC,1,Graduate Professional,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=83
133,Danveer,LAXMI NAGAR,Rashtra Nirman Party,0,Graduate,"Rs 46,35,897~ 46 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=538
134,Darsan Singh,AMBEDKAR NAGAR,Aazad Samaj Party (Kanshi Ram),0,10th Pass,"Rs 52,00,000~ 52 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=433
135,Daya Ram Gurjar,CHHATARPUR,IND,0,Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=191
136,Deepa Devi,PATPARGANJ,Aihra National Party,0,10th Pass,"Rs 4,10,000~ 4 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=660
137,Deepak Chawla,TIMARPUR,Republican Party of India (Athawale),0,Graduate,"Rs 6,55,843~ 6 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=576
138,Deepak Kapila,KALKAJI,Azad Adhikar Sena,0,Graduate Professional,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=270
139,Deepak Kumar,SULTAN PUR MAJRA,IND,0,5th Pass,"Rs 2,26,808~ 2 Lacs+","Rs 2,61,000~ 2 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=587
140,Deepak Kumar,VISHWAS NAGAR,Bharatiy Aam Janta Adhikar Party,0,Others,"Rs 13,00,000~ 13 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=208
141,Deepak Kumar,SEELAM PUR,BSP,0,Others,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=793
142,Deepak Kumar,KAROL BAGH,IND,0,8th Pass,"Rs 25,500~ 25 Thou+","Rs 3,567~ 3 Thou+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=519
143,Deepak Pandey,LAXMI NAGAR,Magadh Congress of Inda,0,Graduate Professional,"Rs 14,15,203~ 14 Lacs+","Rs 4,00,000~ 4 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=199
144,Deepak Rawat,BADARPUR,IND,0,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=448
145,Deepak Singhal,VISHWAS NAGAR,AAP,1,8th Pass,"Rs 15,28,50,269~ 15 Crore+","Rs 8,49,55,000~ 8 Crore+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=555
146,Deepak Tanwar,DEOLI,Lok Janshakti Party(Ram Vilas),0,8th Pass,"Rs 30,72,681~ 30 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=766
147,Deepti Indora,MATIA MAHAL,BJP,0,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=143
148,Devender Kumar,WAZIRPUR,CPI,0,8th Pass,"Rs 89,445~ 89 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=73
149,Devender Kumar Yadav,BADLI,IND,0,Graduate,"Rs 3,94,795~ 3 Lacs+","Rs 2,12,750~ 2 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=232
150,Devender Yadav,BADLI,INC,1,10th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=62
151,Devendra Bhaiya,KARAWAL NAGAR,BSP,0,Graduate,"Rs 1,60,18,188~ 1 Crore+","Rs 1,70,00,000~ 1 Crore+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=516
152,Devika,DEOLI,Rashtriya Lok Janshakti Party,0,12th Pass,"Rs 50,55,365~ 50 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=765
153,Dharam Pal,MUSTAFABAD,Bharatiya Sarvodaya Kranti Party,0,10th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=710
154,Dharam Pal Chandela,RAJOURI GARDEN,INC,0,12th Pass,"Rs 6,10,36,079~ 6 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=159
155,Dharam Rakshak Alias Rakesh Jatav,MANGOL PURI,AAP,0,8th Pass,"Rs 1,82,80,055~ 1 Crore+","Rs 9,84,260~ 9 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=186
156,Dharam Veer,JANAKPURI,Suheldev Bharatiya Samaj Party,0,10th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=785
157,Dharampal Lakra,MUNDKA,INC,0,Others,"Rs 76,01,44,877~ 76 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=716
158,Dharamveer,MADIPUR,IND,0,Graduate Professional,"Rs 4,38,000~ 4 Lacs+","Rs 4,10,000~ 4 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=541
159,Dharamvir Singh,GOKALPUR,Peoples Party of India (Democratic),0,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=262
160,Dharmender,CHHATARPUR,IND,0,Graduate Professional,"Rs 2,09,085~ 2 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=45
161,Dharmindra Kumar Kaim,SHAHDARA,BSP,0,12th Pass,"Rs 13,000~ 13 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=602
162,Dheeraj Kumar,BAWANA,Peoples Party of India (Democratic),0,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=464
163,Dhurva Kumar,BURARI,Right to Recall Party,0,Post Graduate,"Rs 70,000~ 70 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=23
164,Diblu Singh,PATPARGANJ,IND,0,Graduate Professional,"Rs 93,52,000~ 93 Lacs+","Rs 48,00,000~ 48 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=336
165,Dilip Banerjee,SHAHDARA,IND,0,Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=600
166,Dilip Kumar,PALAM,CPI,0,5th Pass,"Rs 29,32,186~ 29 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=329
167,Dilip Kumar Sharma,NANGLOI JAT,IND,1,10th Pass,"Rs 1,90,17,168~ 1 Crore+","Rs 51,64,913~ 51 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=309
168,Dinesh Kumar Sah,UTTAM NAGAR,IND,1,8th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=559
169,Dinesh Mohaniya,SANGAM VIHAR,AAP,4,Graduate Professional,"Rs 77,00,166~ 77 Lacs+","Rs 7,95,236~ 7 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=59
170,Dinesh Tanwar,CHHATARPUR,Aapki Apni Party (Peoples),1,10th Pass,"Rs 1,34,12,090~ 1 Crore+","Rs 1,89,347~ 1 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=479
171,Dr Anil Goyal,KRISHNA NAGAR,BJP,0,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=280
172,Dr. Abhilasha,NEW DELHI,IND,0,Doctorate,"Rs 6,03,153~ 6 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=687
173,Dr. Ajay Dutt,AMBEDKAR NAGAR,AAP,0,Doctorate,"Rs 11,92,94,435~ 11 Crore+","Rs 26,59,574~ 26 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=77
174,Dr. Bhupendra Chaurasiya,MALVIYA NAGAR,Yuva Bharat Rashtraseva Party,0,Graduate Professional,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=285
175,Dr. Munish Kumar Raizada,NEW DELHI,Bharatiya Liberal Party,0,Graduate Professional,"Rs 27,46,80,370~ 27 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=314
176,Dr. P.K. Mishra,KARAWAL NAGAR,INC,0,Post Graduate,"Rs 1,39,71,502~ 1 Crore+","Rs 18,50,000~ 18 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=272
177,Duggirala Nageswara Rao,NEW DELHI,Jatiya Jana Sena Party,0,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=684
178,Durgesh Pathak,RAJINDER NAGAR,AAP,4,Post Graduate,"Rs 19,47,576~ 19 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=345
179,Dushyant Gautam,KAROL BAGH,BJP,0,Graduate,"Rs 5,31,46,269~ 5 Crore+","Rs 4,47,721~ 4 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=69
180,Dushyant Thakur,UTTAM NAGAR,Yuva Bharat Rashtraseva Party,0,Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=391
181,Farhad Suri,JANGPURA,INC,5,Graduate,"Rs 32,46,263~ 32 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=400
182,Firdos Alam,OKHLA,Bhartiya Insan Party,1,12th Pass,"Rs 1,50,000~ 1 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=104
183,Firdous Ahmad,MATIA MAHAL,IND,0,8th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=747
184,G. Thulaseedharan,DWARKA,Peoples Green Party,1,12th Pass,"Rs 7,05,000~ 7 Lacs+","Rs 10,00,000~ 10 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=483
185,Gajender Drall,MUNDKA,BJP,0,Graduate,"Rs 12,71,69,681~ 12 Crore+","Rs 1,30,07,956~ 1 Crore+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=223
186,Gajender Singh Yadav,MEHRAULI,BJP,0,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=53
187,Gandhi Ji Gautam,LAXMI NAGAR,Aazad Samaj Party (Kanshi Ram),0,Others,"Rs 1,85,47,756~ 1 Crore+","Rs 18,284~ 18 Thou+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=31
188,Ganga Ram,BURARI,BSP,0,10th Pass,"Rs 41,000~ 41 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=773
189,Garvit Singhvi,GREATER KAILASH,INC,0,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=266
190,Gaurav Sharma,GHONDA,AAP,0,Graduate Professional,"Rs 76,06,533~ 76 Lacs+","Rs 1,43,31,858~ 1 Crore+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=261
191,Gaurav Sharma,GHONDA,IND,0,Post Graduate,"Rs 9,35,654~ 9 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=758
192,Gauri Shankar,MOTI NAGAR,IND,0,Illiterate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=206
193,Gautam Singh Bihari,DWARKA,IND,0,Graduate,"Rs 1,15,000~ 1 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=184
194,Geeta,PALAM,BSP,0,Post Graduate,"Rs 35,32,500~ 35 Lacs+","Rs 8,50,000~ 8 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=106
195,Gopal Kumar Sinha,BADLI,Bharatiya Sampuran Krantikari Party,0,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=454
196,Gopal Prasad,PATPARGANJ,Delhi Janta Party,2,12th Pass,"Rs 6,25,037~ 6 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=659
197,Gopal Rai,BABARPUR,AAP,1,Post Graduate,"Rs 1,41,99,753~ 1 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=216
198,Gourav Bothra,MOTI NAGAR,Right to Recall Party,0,Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=6
199,Gulab Singhal,BURARI,Bhim Sena,0,10th Pass,"Rs 10,000~ 10 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=471
200,Gulfam,GANDHI NAGAR,IND,0,10th Pass,"Rs 1,78,323~ 1 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=487
201,Gulshan Bharti,AMBEDKAR NAGAR,Right to Recall Party,0,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=3
202,Gurcharan Singh (Raju),KRISHNA NAGAR,INC,1,8th Pass,"Rs 1,30,90,52,000~ 130 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=139
203,Gurmeet Singh,VISHWAS NAGAR,Jai Maha Bharath Party,0,10th Pass,"Rs 2,16,041~ 2 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=551
204,H.M. Hashim Malik,KARAWAL NAGAR,SDPI,0,8th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=89
205,Haider Ali,NEW DELHI,IND,0,8th Pass,"Rs 14,000~ 14 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=319
206,Hammad Khan,OKHLA,IND,0,Post Graduate,"Rs 30,03,490~ 30 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=325
207,Hansa,BALLIMARAN,IND,0,Graduate Professional,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=456
208,Hanuman Sahay Alias Hanuman Chauhan,MANGOL PURI,INC,0,8th Pass,"Rs 37,41,108~ 37 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=286
209,Harbani Kaur,JANAKPURI,INC,0,Graduate,"Rs 30,04,878~ 30 Lacs+","Rs 72,577~ 72 Thou+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=416
210,Hari Kishan Mechanic,BAWANA,IND,0,Others,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=26
211,Hari Ram,BADARPUR,Rashtriya Bahujan Congress Party,0,Illiterate,"Rs 2,26,35,743~ 2 Crore+","Rs 10,00,000~ 10 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=451
212,Harish,MOTI NAGAR,IND,0,10th Pass,"Rs 4,15,69,243~ 4 Crore+","Rs 81,20,903~ 81 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=66
213,Harish Khurana,MOTI NAGAR,BJP,1,Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=98
214,Haroon Yusuf,BALLIMARAN,INC,0,Graduate,"Rs 4,78,63,695~ 4 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=237
