video_id,video_name,video_location,playlist_id
1047,1047,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1047.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1048,1048,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1048.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1049,1049,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1049.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
105,105,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/105.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1050,1050,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1050.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1051,1051,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1051.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1052,1052,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1052.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1053,1053,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1053.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1054,1054,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1054.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1055,1055,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1055.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1057,1057,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1057.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1058,1058,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1058.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1059,1059,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1059.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
106,106,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/106.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1060,1060,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1060.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1061,1061,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1061.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1062,1062,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1062.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1063,1063,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1063.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1064,1064,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1064.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1065,1065,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1065.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1066,1066,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1066.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1067,1067,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1067.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1068,1068,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1068.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1069,1069,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1069.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
107,107,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/107.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1070,1070,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1070.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1071,1071,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1071.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1072,1072,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1072.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1073,1073,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1073.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1074,1074,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1074.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1075,1075,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1075.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1076,1076,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1076.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1077,1077,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1077.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1078,1078,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1078.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1079,1079,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1079.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
108,108,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/108.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1080,1080,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1080.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1081,1081,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1081.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1082,1082,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1082.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1083,1083,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1083.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1084,1084,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1084.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1085,1085,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1085.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1086,1086,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1086.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1087,1087,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1087.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1088,1088,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1088.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
109,109,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/109.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1090,1090,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1090.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1091,1091,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1091.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1092,1092,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1092.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1093,1093,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1093.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1094,1094,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1094.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1095,1095,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1095.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1096,1096,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1096.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
